,SYMBOL,LOW_x,LOW_y,Value
97,ARIHANT,61.45,25.3,2.4288537549407114
676,JINDALPHOT,210.1,118.1,1.7790008467400509
869,MGEL,87.0,50.6,1.7193675889328062
46,AKG,39.9,23.5,1.6978723404255318
1153,SANGAMIND,258.2,156.0,1.655128205128205
828,MAHSEAMLES,485.7,312.65,1.5534943227250921
1256,SPTL,6.35,4.2,1.5119047619047619
186,BESTAGRO,1083.6,725.0,1.4946206896551724
1223,SINTEX,5.6,3.75,1.4933333333333332
1329,TCI,616.0,414.05,1.4877430262045646
1311,TANLA,1220.7,825.0,1.4796363636363636
949,NETWORK18,74.0,50.8,1.4566929133858268
1324,TATAPOWER,201.4,138.9,1.4499640028797696
1066,PRIMESECU,123.0,85.1,1.445358401880141
1322,TATAMOTORS,467.7,324.0,1.4435185185185184
215,BORORENEW,425.0,297.0,1.430976430976431
1370,TRIDENT,35.8,25.35,1.4122287968441813
1323,TATAMTRDVR,238.65,169.1,1.4112950916617386
1445,VISASTEEL,15.3,10.95,1.397260273972603
308,DBREALTY,35.25,25.7,1.3715953307392996
1402,UNIVASTU,61.8,45.5,1.358241758241758
725,KDDL,592.25,440.15,1.3455640122685448
106,ARVIND,126.25,94.4,1.33739406779661
77,ANSALAPI,11.9,8.9,1.3370786516853932
681,JINDWORLD,120.05,90.05,1.3331482509716823
1396,UMESLTD,4.9,3.7,1.3243243243243243
1328,TBZ,97.4,73.6,1.3233695652173916
1390,UGROCAP,161.2,122.1,1.3202293202293203
833,MANAKCOAT,17.8,13.5,1.3185185185185186
1204,SHOPERSTOP,337.0,256.0,1.31640625
747,KKCL,1170.8,890.5,1.3147669848399774
168,BANSWRAS,186.6,142.1,1.3131597466572835
67,AMDIND,34.0,26.05,1.3051823416506718
1398,UNIDT,428.85,330.5,1.2975794251134645
181,BEDMUTHA,46.0,35.5,1.295774647887324
472,GOKULAGRO,55.15,43.0,1.2825581395348837
350,EASTSILK,4.55,3.55,1.2816901408450705
199,BIGBLOC,140.75,110.15,1.2778029959146617
1400,UNIONBANK,44.4,34.75,1.2776978417266187
426,GANESHHOUC,194.15,152.5,1.2731147540983607
1437,VIMTALABS,344.1,270.6,1.2716186252771617
1422,VASWANI,14.05,11.05,1.2714932126696832
645,IRB,221.3,174.05,1.2714737144498707
1011,PATELENG,23.3,18.35,1.2697547683923704
1131,RSWM,377.55,298.2,1.2660965794768613
24,ACCURACY,163.55,129.55,1.2624469316866074
110,ASALCBR,522.15,413.95,1.2613842251479648
903,MSTCLTD,378.7,300.3,1.261072261072261
762,KPIGLOBAL,161.2,128.05,1.2588832487309642
867,MFL,870.0,692.0,1.2572254335260116
658,IVZINGOLD,4272.5,3400.25,1.2565252554959194
311,DCMNVL,250.55,200.05,1.2524368907773056
248,CENTRUM,39.45,31.5,1.2523809523809524
214,BOROLTD,264.4,211.5,1.2501182033096925
1178,SEPOWER,9.5,7.6,1.25
1373,TRITURBINE,172.15,137.95,1.2479159115621603
32,ADSL,86.35,69.5,1.2424460431654676
1084,RADICO,1096.15,882.5,1.2420963172804533
223,BSL,77.0,62.0,1.2419354838709677
161,BANARBEADS,75.0,60.4,1.2417218543046358
65,AMBIKCO,2041.0,1644.9,1.2408049121527145
1058,PRAKASHSTL,2.4,1.95,1.2307692307692308
45,AKASH,222.7,180.95,1.2307267200884222
781,LEMONTREE,52.6,42.8,1.2289719626168225
956,NIBL,22.3,18.15,1.228650137741047
1158,SARDAEN,804.45,656.1,1.226108824874257
465,GODFRYPHLP,1287.05,1050.1,1.2256451766498428
47,AKSHARCHEM,500.2,409.0,1.2229828850855746
1360,TMRVL,15.7,12.85,1.2217898832684824
1377,TTL,81.2,66.5,1.2210526315789474
457,GMBREW,713.05,584.0,1.2209760273972603
733,KHADIM,271.25,222.3,1.2201979307242465
1075,PTC,121.3,99.5,1.2190954773869347
12,AARVEEDEN,25.85,21.25,1.2164705882352942
58,ALMONDZ,117.3,96.55,1.2149145520455722
613,INDIANB,155.6,128.1,1.2146760343481655
930,NDL,78.85,64.95,1.21401077752117
57,ALLSEC,500.0,413.0,1.2106537530266344
1026,PGEL,478.75,395.5,1.2104930467762327
1376,TTKPRESTIG,10600.05,8765.0,1.2093610952652594
1234,SMLISUZU,671.35,555.5,1.2085508550855086
1226,SIYSIL,442.2,366.0,1.2081967213114755
397,FEDERALBNK,96.0,79.5,1.2075471698113207
1331,TCIEXP,1758.4,1457.4,1.206532180595581
1441,VINYLINDIA,264.1,219.0,1.205936073059361
1060,PRECOT,272.85,227.1,1.2014531043593133
1202,SHIVATEX,213.5,177.9,1.2001124227093873
498,GTNTEX,8.4,7.0,1.2
1235,SMSLIFE,863.65,720.7,1.1983488275287912
682,JISLJALEQS,42.0,35.05,1.1982881597717547
288,CRAFTSMAN,2505.0,2091.15,1.1979054587188867
1251,SPECIALITY,87.55,73.15,1.1968557758031442
432,GDL,268.0,224.2,1.1953612845673507
501,GUJALKALI,741.0,620.5,1.1941982272361
338,DOLLAR,431.0,361.0,1.1939058171745152
165,BANKBARODA,93.0,78.15,1.1900191938579654
53,ALKALI,82.5,69.55,1.186196980589504
1047,POKARNA,552.25,465.8,1.185594675826535
464,GOCLCORP,310.3,261.95,1.1845772093911053
622,INDOTHAI,100.6,85.0,1.1835294117647057
232,CANBK,191.1,161.7,1.1818181818181819
719,KARDA,19.25,16.3,1.1809815950920244
487,GREENPANEL,358.05,303.2,1.1809036939313986
873,MINDACORP,142.25,120.5,1.1804979253112033
783,LGBBROSLTD,486.0,411.7,1.1804712169055138
319,DELTAMAGNT,60.2,51.0,1.1803921568627451
1005,PALREDTEC,136.8,116.1,1.178294573643411
1198,SHAREINDIA,742.3,630.0,1.178253968253968
1474,WILLAMAGOR,23.15,19.65,1.178117048346056
349,DYNPRO,610.25,518.0,1.178088803088803
1320,TATAINVEST,1501.0,1275.0,1.1772549019607843
1380,TVSMOTOR,638.25,543.05,1.1753061412392967
801,LTI,6610.0,5635.55,1.172911250898315
841,MANINFRA,118.35,101.0,1.1717821782178217
1346,THANGAMAYL,1253.7,1070.05,1.1716274940423346
1155,SANGHVIMOV,199.1,170.25,1.1694566813509544
489,GRINDWELL,1590.0,1360.0,1.1691176470588236
836,MANAPPURAM,195.0,166.8,1.1690647482014387
1114,RGL,881.05,755.0,1.1669536423841058
1123,ROLLT,2.8,2.4,1.1666666666666667
824,MAHINDCIE,263.25,226.15,1.1640504090205614
273,COFFEEDAY,34.55,29.7,1.1632996632996633
436,GENESYS,230.0,197.75,1.1630847029077118
695,JSL,180.1,155.0,1.1619354838709677
1345,TGBHOTELS,9.7,8.35,1.1616766467065869
250,CENTURYPLY,525.55,452.5,1.1614364640883976
1016,PDSMFL,1350.0,1162.65,1.161140498000258
1465,WEIZMANIND,52.7,45.45,1.1595159515951594
1240,SOLARINDS,2306.65,1990.0,1.1591206030150754
533,HGINFRA,712.55,614.9,1.1588063099691006
1043,PNC,41.9,36.2,1.1574585635359114
554,HOMEFIRST,670.25,579.3,1.1569998273778699
1243,SONACOMS,637.2,551.0,1.1564428312159711
1074,PSUBNKBEES,29.5,25.51,1.15640925127401
1,21STCENMGM,54.3,47.0,1.15531914893617
1038,PITTIENG,165.15,143.0,1.1548951048951048
123,ASTRAMICRO,218.15,189.0,1.1542328042328043
1201,SHIVAMILLS,95.0,82.5,1.1515151515151516
1191,SGL,14.5,12.6,1.150793650793651
632,INGERRAND,1105.2,962.0,1.148856548856549
1002,PAGEIND,36714.35,32009.4,1.1469865102126249
195,BHARATGEAR,159.15,138.85,1.1462009362621535
722,KAYA,481.65,420.35,1.1458308552396812
985,OMINFRAL,31.55,27.55,1.1451905626134302
696,JSLHISAR,320.65,280.0,1.1451785714285714
856,MAXVIL,123.8,108.2,1.144177449168207
812,MACPOWER,191.0,167.05,1.1433702484286141
1106,RELAXO,1300.0,1138.0,1.1423550087873462
92,APTECHT,338.1,296.1,1.1418439716312057
604,IIFL,303.25,265.65,1.1415396198004895
493,GRSE,216.15,189.4,1.1412354804646252
540,HINDCOPPER,124.3,109.0,1.1403669724770642
99,ARIHANTSUP,167.05,146.5,1.1402730375426622
1333,TCNSBRANDS,725.85,636.6,1.1401979264844486
887,MOLDTKPAC,651.0,572.05,1.1380124115024912
597,IFBAGRO,640.0,562.45,1.1378789225708952
1020,PERSISTENT,3901.0,3429.4,1.137516766781361
967,NOIDATOLL,6.65,5.85,1.136752136752137
400,FIEMIND,1210.0,1065.45,1.1356703740203669
808,LYKALABS,88.05,77.55,1.1353965183752417
603,IGPL,818.55,721.0,1.1352981969486824
679,JINDALSTEL,406.8,358.4,1.135044642857143
758,KOTAKPSUBK,265.0,233.5,1.1349036402569592
1122,ROLEXRINGS,1141.4,1008.0,1.13234126984127
634,INOXWIND,111.1,98.2,1.131364562118126
814,MADHUCON,5.2,4.6,1.1304347826086958
992,ORIENTALTL,8.8,7.8,1.1282051282051284
1452,VMART,3920.0,3474.7,1.1281549486286586
18,ABFRL,247.3,219.25,1.1279361459521096
1304,SWELECTES,241.55,214.2,1.127684407096172
183,BEML,1565.0,1390.15,1.125777793763263
1054,POWERMECH,980.1,872.05,1.1239034459033312
108,ASAHIINDIA,400.0,356.05,1.1234377194214296
1174,SCI,126.5,112.65,1.1229471815357301
590,IDBI,49.5,44.1,1.1224489795918366
434,GEEKAYWIRE,89.05,79.35,1.1222432262129804
1327,TATVA,2461.0,2193.35,1.122027948115896
1025,PFS,19.15,17.1,1.1198830409356724
374,ENDURANCE,1755.0,1570.0,1.1178343949044587
570,ICICIBANK,783.9,701.3,1.1177812633680309
1464,WEBELSOLAR,73.15,65.5,1.1167938931297712
1278,SUNCLAYLTD,3693.6,3312.0,1.1152173913043477
1139,RVNL,33.5,30.05,1.1148086522462561
1429,VETO,111.55,100.1,1.1143856143856143
179,BEARDSELL,14.2,12.75,1.1137254901960785
488,GREENPLY,199.95,179.55,1.1136173767752713
1214,SHRIRAMEPC,6.4,5.75,1.1130434782608696
892,MORARJEE,17.25,15.5,1.1129032258064515
100,ARMANFIN,893.05,802.55,1.112765559778207
799,LOVABLE,125.25,112.6,1.1123445825932505
1170,SBIN,488.4,439.1,1.112275108175814
1359,TITAN,2346.55,2110.05,1.1120826520698561
702,JUBLINDS,546.55,492.0,1.1108739837398374
713,KALYANKJIL,75.65,68.1,1.1108663729809105
633,INOXLEISUR,407.0,367.0,1.108991825613079
172,BATAINDIA,1929.6,1740.25,1.1088062060048842
1000,ORTINLAB,29.6,26.7,1.1086142322097379
107,ARVINDFASN,295.1,266.3,1.1081487044686444
1261,SRTRANSFIN,1425.0,1286.0,1.1080870917573873
286,COUNCODOS,3.1,2.8,1.1071428571428572
460,GMRINFRA,39.3,35.5,1.1070422535211266
499,GTPL,257.9,233.0,1.1068669527896995
491,GROBTEA,1011.9,915.55,1.10523728906122
427,GANGAFORGE,15.85,14.35,1.1045296167247387
1024,PFOCUS,77.5,70.2,1.103988603988604
207,BLBLIMITED,10.3,9.35,1.1016042780748665
1456,VSSL,253.1,229.8,1.1013925152306352
891,MONTECARLO,376.9,342.4,1.1007593457943925
294,CUB,164.0,149.0,1.1006711409395973
307,DBL,591.1,537.25,1.100232666356445
1210,SHRENIK,1.65,1.5,1.0999999999999999
1386,UCOBANK,14.35,13.05,1.0996168582375478
901,MRPL,48.65,44.25,1.0994350282485876
989,ORBTEXP,77.0,70.05,1.099214846538187
963,NITIRAJ,45.55,41.45,1.0989143546441493
332,DIXON,4750.0,4325.0,1.0982658959537572
75,ANIKINDS,19.2,17.5,1.0971428571428572
375,ENERGYDEV,9.65,8.8,1.096590909090909
218,BRIGADE,427.8,390.25,1.0962203715566945
1426,VENUSREM,490.0,447.05,1.0960742646236439
618,INDNIPPON,381.75,348.4,1.0957233065442022
809,LYPSAGEMS,4.6,4.2,1.0952380952380951
539,HINDCON,66.25,60.5,1.0950413223140496
556,HONDAPOWER,1276.05,1165.4,1.0949459413077054
39,AHLADA,145.0,132.5,1.0943396226415094
277,COMPUSOFT,15.1,13.8,1.0942028985507246
1036,PIONDIST,177.8,162.5,1.0941538461538463
780,LAXMIMACH,8665.1,7919.9,1.0940920971224386
