,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
0,20MICRONS,EQ,29.15,29.4,28.5,28.6,28.5,29.15,49903,1429604.6,31-JUL-2020,774,INE144J01027
1,21STCENMGM,EQ,10.05,10.45,10.05,10.4,10.45,10.25,8380,85549.2,31-JUL-2020,68,INE253B01015
2,3IINFOTECH,EQ,2.45,2.5,2.35,2.4,2.4,2.45,2759633,6644268.1,31-JUL-2020,1440,INE748C01020
3,3MINDIA,EQ,21301.0,21489.7,20971.3,21078.0,21100.05,21197.45,2040,43098707.35,31-JUL-2020,964,INE470A01017
4,5PAISA,EQ,344.15,344.15,344.15,344.15,344.15,362.25,9336,3212984.4,31-JUL-2020,127,INE618L01018
8,A2ZINFRA,EQ,4.2,4.2,3.95,4.0,4.0,4.1,430152,1728550.35,31-JUL-2020,428,INE619I01012
10,AARTIDRUGS,EQ,1710.0,1750.0,1710.0,1740.25,1735.0,1707.7,110001,191419484.45,31-JUL-2020,6871,INE767A01016
11,AARTIIND,EQ,956.0,995.0,950.45,990.4,991.0,965.35,547042,537441952.05,31-JUL-2020,22504,INE769A01020
14,AARVI,EQ,30.4,32.5,30.4,31.5,31.5,32.0,32030,1008922.5,31-JUL-2020,3,INE754X01016
15,AAVAS,EQ,1311.0,1379.0,1311.0,1370.45,1366.0,1309.75,124532,166922007.45,31-JUL-2020,3053,INE216P01012
16,ABAN,EQ,24.1,24.6,23.1,23.35,23.6,24.1,47799,1128566.7,31-JUL-2020,508,INE421A01028
17,ABB,EQ,870.5,897.4,865.5,894.95,896.5,865.15,151890,134625710.5,31-JUL-2020,5640,INE117A01022
18,ABBOTINDIA,EQ,14905.0,15661.65,14905.0,15536.35,15550.0,14905.8,46384,707614255.55,31-JUL-2020,9778,INE358A01014
19,ABCAPITAL,EQ,55.6,55.75,54.0,54.1,54.4,55.5,1656358,90308259.05,31-JUL-2020,10928,INE674K01013
20,ABFRL,EQ,121.75,125.25,121.55,124.7,124.25,123.0,883162,109603902.95,31-JUL-2020,9212,INE647O01011
23,ABSLBANETF,EQ,212.7,213.01,212.0,213.01,213.01,217.0,18,3820.8,31-JUL-2020,6,INF209KB1O58
24,ABSLNN50ET,EQ,271.0,271.0,261.13,265.57,264.0,262.87,50,13388.35,31-JUL-2020,5,INF209KB1B87
25,ACC,EQ,1454.8,1454.9,1418.0,1425.45,1428.8,1447.2,940224,1345048618.0,31-JUL-2020,32256,INE012A01025
26,ACCELYA,EQ,989.0,994.0,981.1,984.3,981.15,989.35,11277,11128870.6,31-JUL-2020,1299,INE793A01012
28,ACE,EQ,57.15,57.6,55.8,56.35,56.55,57.15,207161,11736104.2,31-JUL-2020,1544,INE731H01025
29,ADANIENT,EQ,174.0,178.65,172.1,175.25,175.45,175.05,2644458,464369718.4,31-JUL-2020,21574,INE423A01024
30,ADANIGAS,EQ,152.5,155.6,150.8,153.75,153.0,152.15,1041568,159737746.1,31-JUL-2020,10185,INE399L01023
31,ADANIGREEN,EQ,340.05,348.9,338.0,340.65,341.7,341.45,452663,155460842.95,31-JUL-2020,9848,INE364U01010
32,ADANIPORTS,EQ,315.0,318.15,312.75,315.2,315.15,312.5,1945026,613558478.65,31-JUL-2020,26265,INE742F01042
33,ADANIPOWER,EQ,35.95,36.25,35.1,35.4,35.4,35.5,3255265,115910508.4,31-JUL-2020,6990,INE814H01011
34,ADANITRANS,EQ,244.6,245.0,232.8,235.85,236.5,244.4,539910,127587527.45,31-JUL-2020,6619,INE931S01010
35,ADFFOODS,EQ,332.05,341.95,318.45,336.25,335.25,330.35,78996,26489244.45,31-JUL-2020,2906,INE982B01019
37,ADORWELD,EQ,250.05,251.5,245.0,245.95,246.1,249.3,9988,2474612.5,31-JUL-2020,631,INE045A01017
38,ADSL,EQ,19.35,19.35,18.55,18.55,18.55,19.5,86470,1611573.3,31-JUL-2020,209,INE102I01027
39,ADVANIHOTR,EQ,40.1,40.95,39.45,40.4,40.5,40.7,5277,212378.8,31-JUL-2020,144,INE199C01026
40,ADVENZYMES,EQ,185.0,194.65,182.0,190.1,189.8,182.45,1147534,217743805.15,31-JUL-2020,16562,INE837H01020
41,AEGISCHEM,EQ,182.0,193.2,180.5,190.1,190.0,184.2,244299,45895641.45,31-JUL-2020,11383,INE208C01025
42,AFFLE,EQ,1715.0,1715.0,1669.55,1688.55,1690.0,1682.35,27362,46160378.35,31-JUL-2020,3283,INE00WC01019
43,AGARIND,EQ,79.2,83.15,76.35,80.95,79.5,79.2,33644,2692508.4,31-JUL-2020,460,INE204E01012
44,AGCNET,EQ,327.45,339.0,320.0,323.35,324.0,327.45,1508,486937.0,31-JUL-2020,128,INE676A01019
46,AGROPHOS,EQ,9.15,9.6,8.7,9.15,9.2,9.15,71510,637112.35,31-JUL-2020,202,INE740V01019
