,SYMBOL,31-12-2015,31-03-2016,30-06-2016,30-09-2016,31-12-2016,,,,,
1,TATAMOTORS,391,372,459,526,472,,-0.04859335,0.173913043,0.345268542,0.207161125
2,TATASTEEL,247,304,306,351,384,,0.230769231,0.238866397,0.421052632,0.55465587
3,HINDALCO,85,88,123,150,155,,0.035294118,0.447058824,0.764705882,0.823529412
4,NTPC,122,108,130,124,137,,-0.114754098,0.06557377,0.016393443,0.12295082
5,RELIANCE,507,522,493,536,541,,0.029585799,-0.027613412,0.057199211,0.067061144
6,BAJFINANCE,601,692,799,1037,842,,0.151414309,0.329450915,0.725457571,0.400998336
7,JSWSTEEL,103,128,146,167,163,,0.242718447,0.417475728,0.621359223,0.582524272
8,BAJAJFINSV,1987,1711,2321,3105,2895,,-0.138902869,0.168092602,0.562657272,0.456970307
9,HEROMOTOCO,2694,2945,3178,3428,3043,,0.093170007,0.1796585,0.272457313,0.129547142
10,KOTAKBANK,720,680,763,772,719,,-0.055555556,0.059722222,0.072222222,-0.001388889
,,,,,,,,0.042514604,0.205219859,0.385877331,0.334400954
,,,,,,,,,,,
,NIFTY,7946,7738,8287,8591,8186,,-0.026176693,0.042914674,0.081172917,0.030203876
