,SYMBOL,31-12-2017,31-03-2018,30-06-2018,30-09-2018,31-12-2018,,,,
1,TITAN,849,942,878,805,887,0.109540636,0.034157833,-0.051825677,0.044758539
2,BHARTIARTL,529,413,375,361,316,-0.219281664,-0.291115312,-0.31758034,-0.402646503
3,DIVISLAB,1123,1087,1038,1310,1482,-0.03205699,-0.075690116,0.166518255,0.31967943
4,SBIN,309,254,261,265,292,-0.177993528,-0.155339806,-0.142394822,-0.055016181
5,MARUTI,9644,8852,8825,7347,7569,-0.0821236,-0.084923268,-0.238179179,-0.215159685
6,RELIANCE,911,890,1005,1257,1121,-0.023051592,0.103183315,0.379802415,0.230515917
7,HINDUNILVR,1367,1351,1641,1618,1819,-0.011704462,0.200438917,0.183613753,0.330651061
8,INFY,521,577,640,730,656,0.107485605,0.22840691,0.401151631,0.259117083
9,ONGC,192,180,157,180,149,-0.0625,-0.182291667,-0.0625,-0.223958333
10,HINDALCO,265,218,218,229,220,-0.177358491,-0.177358491,-0.135849057,-0.169811321
,,,,,,,,,,
,,,,,,,-0.056904409,-0.040053168,0.018275698,0.011813001
,,,,,,,,,,
,,,,,,,,,,
,Nifty,10530,10130,10714,10930,10862,-0.037986705,0.017473884,0.037986705,0.031528965
