,SYMBOL,31-Dec-18,31-Mar-19,30-Jun-19,30-09-2019,31-12-2019,,,,
1,BAJFINANCE,2634,3025,3642,4057,4234,0.148443432,0.382687927,0.540242976,0.607441154
2,ADANIPORTS,387,383,410,404,366,-0.010335917,0.059431525,0.043927649,-0.054263566
3,ICICIBANK,360,400,437,449,550,0.111111111,0.213888889,0.247222222,0.527777778
4,SBILIFE,597,609,723,846,961,0.020100503,0.211055276,0.417085427,0.609715243
5,TITAN,887,1141,1334,1288,1154,0.286358512,0.503945885,0.452085682,0.301014656
6,NESTLEIND,11258,10960,11912,13934,14785,-0.026470066,0.058092023,0.237697637,0.313288328
7,UPL,505,618,632,583,588,0.223762376,0.251485149,0.154455446,0.164356436
8,HINDUNILVR,1801,1706,1780,1990,1923,-0.052748473,-0.011660189,0.104941699,0.067740144
9,DIVISLAB,1471,1703,1596,1622,1818,0.15771584,0.084976207,0.102651258,0.23589395
10,LT,1441,1385,1556,1464,1298,-0.038861901,0.07980569,0.015961138,-0.099236641
,,,,,,,,,,
,,,,,,,0.081907542,0.183370838,0.231627113,0.267372748
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Nifty,10729,11623,11865,11359,12245,0.083325566,0.105881256,0.058719359,0.141299282
