,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
0,20MICRONS,EQ,35.15,36.6,35.15,35.75,36.0,35.15,53444,1919271.55,20-APR-2021,488,INE144J01027
1,21STCENMGM,EQ,12.05,12.15,11.85,11.9,11.9,12.05,3265,39135.55,20-APR-2021,42,INE253B01015
2,3IINFOTECH,EQ,6.85,7.0,6.7,7.0,7.0,6.7,10856600,75511766.45,20-APR-2021,6556,INE748C01020
3,3MINDIA,EQ,27600.0,27970.0,26378.95,26511.65,26600.0,27473.1,6205,169220272.55,20-APR-2021,2684,INE470A01017
4,3PLAND,EQ,9.4,9.75,9.2,9.25,9.2,9.4,8311,78090.6,20-APR-2021,87,INE105C01023
5,5PAISA,EQ,420.0,420.0,376.2,394.9,391.0,398.65,194108,78425700.95,20-APR-2021,9241,INE618L01018
7,63MOONS,EQ,94.05,103.8,94.05,95.95,95.9,93.15,855526,84619553.15,20-APR-2021,11652,INE111B01023
11,A2ZINFRA,EQ,4.4,4.4,3.9,4.0,4.0,4.1,1128626,4644034.75,20-APR-2021,942,INE619I01012
13,AARON,EQ,56.75,56.8,53.95,54.0,54.0,55.5,1780,96811.45,20-APR-2021,68,INE721Z01010
14,AARTIDRUGS,EQ,724.0,747.95,716.15,722.2,720.05,715.15,1362740,994367371.75,20-APR-2021,48003,INE767A01016
15,AARTIIND,EQ,1415.0,1448.05,1411.0,1434.7,1427.85,1400.3,287111,408593619.4,20-APR-2021,11884,INE769A01020
16,AARTISURF,EQ,1559.0,1597.85,1490.0,1499.95,1507.0,1542.25,22958,35103758.85,20-APR-2021,2996,INE09EO01013
17,AARVEEDEN,EQ,20.0,21.4,19.5,19.7,19.5,20.35,28151,570093.55,20-APR-2021,341,INE273D01019
18,AARVI,EQ,50.5,51.8,48.15,49.15,48.5,50.45,32056,1589730.05,20-APR-2021,379,INE754X01016
19,AAVAS,EQ,2258.0,2292.75,2230.0,2244.7,2239.95,2236.6,22640,51241038.7,20-APR-2021,4110,INE216P01012
20,ABAN,EQ,28.45,29.25,28.45,28.55,28.6,28.45,47893,1379985.95,20-APR-2021,665,INE421A01028
21,ABB,EQ,1395.0,1418.0,1381.1,1395.4,1385.0,1395.15,173676,243802029.2,20-APR-2021,27869,INE117A01022
