,SYMBOL
77,AXISCADES
478,KTKBANK
503,MAGNUM
204,DLINKINDIA
597,NSIL
763,SOUTHBANK
96,BANKINDIA
403,J&KBANK
891,VIMTALABS
420,JINDWORLD
377,INDOTHAI
910,WEIZMANIND
138,CANBK
283,GOACARBON
672,RAMASTEEL
137,CAMLINFINE
44,APTECHT
676,RAMKY
378,INDRAMEDCO
870,UNIONBANK
767,SPLIL
68,ATULAUTO
370,INDIANB
504,MAHABANK
864,UCOBANK
284,GODFRYPHLP
755,SMARTLINK
198,DHANBANK
918,WINDMACHIN
667,RAJESHEXPO
433,JSL
623,PENIND
428,JMCPROJECT
591,NIPPOBATRY
307,GSS
561,MUTHOOTCAP
219,ELECON
470,KOTAKPSUBK
447,KARURVYSYA
347,HONDAPOWER
265,GENUSPAPER
657,PSUBNKBEES
150,CENTUM
11,ADANIENT
819,TATAMTRDVR
500,MAANALU
27,ALKALI
33,AMARAJABAT
831,TFCILTD
390,IOB
440,KABRAEXTRU
9,ACCELYA
102,BBL
260,GANECOS
394,IRB
615,ORIENTPPR
652,PRECWIRE
560,MURUDCERA
116,BHEL
776,STERTOOLS
656,PSB
579,NELCAST
752,SJVN
235,EVERESTIND
222,ELGIEQUIP
922,WSTCSTPAPR
550,MPSLTD
793,SUPREMEIND
94,BANKBARODA
497,LYPSAGEMS
248,FLEXITUFF
844,TNPL
764,SPARC
726,SATIN
419,JINDRILL
443,KALPATPOWR
727,SBIN
586,NHPC
744,SHREYANIND
457,KIRLOSENG
888,VETO
450,KCP
189,DCBBANK
76,AXISBANK
10,ACE
532,MCX
424,JKLAKSHMI
358,IDFC
551,MRF
62,ASTEC
246,FINCABLES
669,RAJTV
220,ELECTCAST
639,PNB
112,BHARATFORG
609,ORBTEXP
228,ENGINERSIN
853,TRITURBINE
626,PFC
144,CASTROLIND
244,FIEMIND
149,CENTRALBK
259,GANDHITUBE
25,ALEMBICLTD
238,EXIDEIND
398,ITDCEM
867,ULTRACEMCO
343,HITECHGEAR
168,CONCOR
698,RKFORGE
75,AVTNPL
644,PONNIERODE
243,FEDERALBNK
736,SHANTIGEAR
733,SESHAPAPER
873,USHAMART
648,PRAENG
746,SHRIRAMCIT
124,BLKASHYAP
804,SYNGENE
43,APOLLOTYRE
751,SIYSIL
573,NAVNETEDUL
701,RPGLIFE
418,JINDALSTEL
453,KEI
685,REDINGTON
438,JUSTDIAL
465,KOPRAN
476,KSCL
363,IGL
247,FINPIPE
742,SHREECEM
868,UNICHEMLAB
781,SUNCLAYLTD
65,ASTRAZEN
481,LAOPALA
717,SAKUMA
690,REMSONSIND
361,IFCI
546,MORARJEE
177,CUB
55,ASHIANA
429,JMFINANCIL
132,BRITANNIA
321,HCLTECH
355,IDBI
209,DSSL
463,KOKUYOCMLN
498,M&M
160,CIGNITITEC
882,VASCONEQ
422,JKCEMENT
499,M&MFIN
654,PRIMESECU
645,POWERGRID
35,AMBUJACEM
729,SCI
242,FDC
165,COALINDIA
280,GMDCLTD
267,GESHIP
872,UPL
681,RAYMOND
905,VSTIND
766,SPIC
415,JINDALPHOT
524,MARKSANS
634,PIIND
203,DLF
270,GILLANDERS
178,CUMMINSIND
901,VOLTAMP
281,GMRINFRA
322,HDFC
785,SUNDRMFAST
787,SUNPHARMA
20,AIAENG
772,SRTRANSFIN
617,PANACEABIO
714,SAIL
460,KKCL
834,THERMAX
858,TVSELECT
214,EICHERMOT
783,SUNDARMFIN
906,VSTTILLERS
173,CPSEETF
720,SANGAMIND
688,RELIANCE
207,DREDGECORP
239,FACT
622,PEL
613,ORIENTCEM
598,NTPC
298,GRAVITA
624,PERSISTENT
537,MINDTREE
93,BANCOINDIA
814,TATACOMM
846,TORNTPHARM
915,WENDT
684,RECLTD
199,DHANUKA
435,JSWSTEEL
374,INDOCO
282,GNFC
574,NBCC
799,SUZLON
120,BIRLACORPN
632,PHOENIXLTD
121,BIRLAMONEY
547,MOREPENLAB
335,HINDALCO
258,GALLANTT
467,KOTAKBKETF
845,TOKYOPLAST
618,PANAMAPET
525,MARUTI
276,GLENMARK
95,BANKBEES
725,SASKEN
17,AEGISCHEM
338,HINDOILEXP
581,NESTLEIND
376,INDOTECH
679,RANEHOLDIN
479,L&TFH
397,ITC
193,DEEPAKNTR
290,GOLDIAM
818,TATAMOTORS
585,NFL
825,TCS
686,REFEX
874,UTINIFTETF
860,TVSSRICHAK
323,HDFCBANK
269,GICHSGFIN
71,AUSOMENT
544,MOLDTKPAC
182,DAAWAT
469,KOTAKNIFTY
664,QNIFTY
223,ELGIRUBCO
13,ADFFOODS
562,MUTHOOTFIN
135,BSLNIFTY
263,GEECEE
668,RAJSREESUG
454,KICL
884,VEDL
266,GENUSPOWER
588,NIFTYBEES
603,OMAXAUTO
382,INFRABEES
295,GRANULES
569,NATIONALUM
492,LT
875,UTISENSETF
758,SNOWMAN
126,BLUESTARCO
81,BAJAJFINSV
515,MANAPPURAM
79,BAJAJ-AUTO
662,PVR
174,CREST
297,GRASIM
66,ATFL
251,FORTIS
670,RALLIS
12,ADANIPORTS
215,EIDPARRY
904,VSSL
256,GAIL
326,HEIDELBERG
139,CANFINHOME
8,ACC
592,NITCO
554,MSPL
748,SIEMENS
434,JSWHL
847,TORNTPOWER
602,OIL
521,MANUGRAPH
352,ICICIBANK
849,TRENT
391,IOC
252,FOSECOIND
384,INGERRAND
383,INFY
893,VINDHYATEL
723,SARDAEN
206,DPSCLTD
115,BHARTIARTL
614,ORIENTHOT
129,BOSCHLTD
543,MOIL
658,PTL
413,JBFIND
389,INVENTURE
254,GABRIEL
900,VMART
589,NIITLTD
636,PIONDIST
889,VGUARD
606,ONGC
739,SHARIABEES
625,PETRONET
621,PATINTLOG
821,TATASTEEL
354,ICRA
907,VTL
70,AUROPHARMA
105,BEL
156,CGCL
136,BYKE
302,GRINDWELL
466,KOTAKBANK
683,RCF
741,SHOPERSTOP
820,TATAPOWER
396,ISMTLTD
146,CEATLTD
518,MANGLMCEM
713,SAGCEM
580,NESCO
451,KCPSUGIND
827,TECHM
666,RAIN
482,LAXMIMACH
761,SONATSOFTW
507,MAHSCOOTER
856,TTL
287,GODREJPROP
692,REPCOHOME
387,INSECTICID
689,RELIGARE
87,BALKRISIND
406,JAIBALAJI
234,EVEREADY
859,TVSMOTOR
894,VIPIND
511,MANAKALUCO
694,RESPONIND
628,PFOCUS
332,HIKAL
183,DABUR
208,DRREDDY
852,TRIL
869,UNIENTER
445,KANORICHEM
861,TVTODAY
555,MTEDUCARE
145,CCL
530,MCDOWELL-N
914,WELSPUNIND
401,IVP
731,SELAN
385,INOXLEISUR
309,GUFICBIO
789,SUNTV
123,BLISSGVS
596,NRBBEARING
154,CEREBRAINT
699,RML
306,GSPL
509,MAITHANALL
863,UCALFUEL
774,STARPAPER
36,AMRUTANJAN
899,VLSFINANCE
601,OFSS
840,TINPLATE
299,GREAVESCOT
346,HONAUT
41,APLLTD
293,GPIL
630,PGHH
782,SUNDARAM
147,CELEBRITY
452,KEC
104,BEDMUTHA
232,ESSARSHPNG
205,DONEAR
830,TEXRAIL
719,SANDESH
64,ASTRAMICRO
437,JUNIORBEES
159,CHOLAFIN
26,ALICON
912,WELENT
7,ABBOTINDIA
399,ITI
337,HINDCOPPER
458,KIRLOSIND
100,BATAINDIA
817,TATAMETALI
854,TRIVENI
371,INDIANCARD
786,SUNFLAG
533,MEGASOFT
28,ALKYLAMINE
576,NCLIND
366,INDBANK
341,HINDZINC
475,KRBL
769,SREEL
837,TIIL
114,BHARATRAS
106,BEML
82,BAJAJHIND
583,NEULANDLAB
568,NATHBIOGEN
300,GREENLAM
190,DCMSHRIRAM
886,VENUSREM
700,ROSSELLIND
425,JKPAPER
130,BPCL
627,PFIZER
331,HFCL
367,INDHOTEL
829,TEXMOPIPES
924,XPROINDIA
195,DEN
570,NAUKRI
456,KIRIINDUS
824,TCIDEVELOP
166,COLPAL
15,ADSL
842,TITAN
140,CAPLIPOINT
484,LGBBROSLTD
