,SYMBOL
0,KPITTECH
1,FLUOROCHEM
2,TRIDENT
3,MINDAIND
4,BALAMINES
5,HIKAL
6,ADANIENT
7,BSE
8,VTL
9,PERSISTENT
10,LINDEINDIA
11,TATAPOWER
12,GRINDWELL
13,BALRAMCHIN
14,RADICO
15,MINDTREE
16,JSLHISAR
17,MAXHEALTH
18,DEEPAKNTR
19,NATIONALUM
20,CARBORUNIV
21,CENTURYPLY
22,DCMSHRIRAM
23,TATAMTRDVR
24,MINDACORP
25,POLYPLEX
26,CENTURYTEX
27,BSOFT
28,WELSPUNIND
29,MASTEK
30,KEI
31,PRINCEPIPE
32,SCHAEFFLER
33,JSL
34,TATAELXSI
35,LTTS
36,TIINDIA
37,ZENSARTECH
38,INTELLECT
39,LUXIND
40,COFORGE
41,NETWORK18
42,SONATSOFTW
43,SUPRAJIT
44,GNFC
45,IRB
46,ASAHIINDIA
47,GREAVESCOT
48,SKFINDIA
49,CYIENT
50,TCIEXP
51,BAJAJFINSV
52,UTIAMC
53,HINDCOPPER
54,KAJARIACER
55,BIRLACORPN
56,POLYCAB
57,ELGIEQUIP
58,SPARC
59,HINDALCO
60,TATAMOTORS
61,FSL
62,THERMAX
63,MPHASIS
64,APOLLOHOSP
65,OIL
66,CHAMBLFERT
67,IBREALEST
68,LAOPALA
69,GUJALKALI
70,TITAN
71,GUJGASLTD
72,RAIN
73,GLAND
74,VEDL
75,CAPLIPOINT
76,BAJAJELEC
77,TATACOFFEE
78,KSB
79,JKLAKSHMI
80,LAXMIMACH
81,RAJESHEXPO
82,POWERINDIA
83,TRITURBINE
84,ICIL
85,SOLARINDS
86,GRASIM
87,BEML
88,INDIACEM
89,GRAPHITE
90,BASF
91,HEG
92,NOCIL
93,TIMKEN
94,LTI
95,BLUEDART
96,VINATIORGA
97,PIDILITIND
98,FACT
99,CCL
100,TRENT
101,IOB
102,WIPRO
103,SFL
104,ABB
105,LALPATHLAB
106,DELTACORP
107,SOBHA
108,INGERRAND
109,TATACHEM
110,TORNTPOWER
111,ISEC
112,FORTIS
113,ABFRL
114,TECHM
115,JSWSTEEL
116,TCNSBRANDS
117,MAHLOG
118,POLYMED
119,JAMNAAUTO
120,PAGEIND
121,DALBHARAT
122,BAJFINANCE
123,SAIL
124,UPL
125,JBCHEPHARM
126,JKCEMENT
127,RELAXO
128,PRSMJOHNSN
129,NBCC
130,ORIENTELEC
131,NILKAMAL
132,SUNDRMFAST
133,TATASTEEL
134,VMART
135,JKPAPER
136,AAVAS
137,DMART
138,IDFC
139,HATSUN
140,GODREJIND
141,SBIN
142,OBEROIRLTY
143,ONGC
144,WABCOINDIA
145,VENKEYS
146,PEL
147,SUNTECK
148,ABCAPITAL
149,AMBUJACEM
150,GALAXYSURF
151,NAVINFLUOR
152,PRESTIGE
153,GMMPFAUDLR
154,ASTRAL
155,IDBI
156,CAMS
157,TEAMLEASE
158,METROPOLIS
159,BAJAJHLDNG
160,NH
161,BHARATRAS
162,SUNPHARMA
163,ICICIBANK
164,PNCINFRA
165,SCI
166,BEL
167,GSFC
168,MFSL
169,CGCL
170,CUMMINSIND
171,BALKRISIND
172,MOTILALOFS
173,ATUL
174,GSPL
175,ASIANPAINT
176,JKTYRE
177,BRIGADE
178,RCF
179,CENTRALBK
180,IIFLWAM
181,ROUTE
