,SYMBOL
0,DCMNVL
1,SHAREINDIA
2,GANESHHOUC
3,21STCENMGM
4,SPTL
5,TRIDENT
6,LYKALABS
7,ALMONDZ
8,HBSL
9,ELECON
10,DNAMEDIA
11,GOODLUCK
12,GOLDIAM
13,GENESYS
14,ADSL
15,GOKULAGRO
16,RSWM
17,LFIC
18,MARALOVER
19,SANGAMIND
20,PALREDTEC
21,KPITTECH
22,PARSVNATH
23,PITTIENG
24,POKARNA
25,ADANIENT
26,NAHARCAP
27,AGARIND
28,JBMA
29,ONWARDTEC
30,AAKASH
31,KDDL
32,SHREYAS
33,SUULD
34,DATAMATICS
35,TATAELXSI
36,SHIVAMILLS
37,GRAVITA
38,DVL
39,KANORICHEM
40,FLUOROCHEM
41,MANAKCOAT
42,KABRAEXTRU
43,HITECH
44,CONSOFINVT
45,JINDWORLD
46,IEX
47,TATAPOWER
48,GOKEX
49,TATAMTRDVR
50,BHANDARI
51,PERSISTENT
52,KOTHARIPET
53,PDSMFL
54,PGEL
55,MINDTREE
56,DPABHUSHAN
57,USHAMART
58,DHUNINV
59,LTTS
60,PANAMAPET
61,CENTURYPLY
62,GRINDWELL
63,TDPOWERSYS
64,ISFT
65,CEREBRAINT
66,SALONA
67,DSSL
68,COSMOFILMS
69,ARVIND
70,MACPOWER
71,PRINCEPIPE
72,APTECHT
73,SOLARINDS
74,BLKASHYAP
75,BSE
76,KHAICHEM
77,THANGAMAYL
78,RGL
79,OSWALAGRO
80,SUNCLAYLTD
81,WEBELSOLAR
82,DPWIRES
83,SAKSOFT
84,HIKAL
85,SHYAMCENT
86,TCIEXP
87,VIMTALABS
88,ALLCARGO
89,SARLAPOLY
90,BALAMINES
91,VLSFINANCE
92,VASWANI
93,LUXIND
94,ENERGYDEV
95,PRIVISCL
96,SUTLEJTEX
97,STEL
98,VENUSREM
99,VEDL
100,MINDTECK
101,APOLLOHOSP
102,RELIGARE
103,INDIAGLYCO
104,SPAL
105,MANINFRA
106,ORIENTBELL
107,KAMDHENU
108,FILATEX
109,VIVIDHA
110,SIYSIL
111,HGINFRA
112,MAXHEALTH
113,NAHARPOLY
114,TATAMOTORS
115,MONTECARLO
116,JAIBALAJI
117,LINDEINDIA
118,AMBIKCO
119,CARBORUNIV
120,DCMSHRIRAM
121,CONFIPET
122,HINDCOPPER
123,KEI
124,TCI
125,INDTERRAIN
126,SKFINDIA
127,SCI
128,FCL
129,JSL
130,SOBHA
131,MAXVIL
132,JSLHISAR
133,ADORWELD
134,DELTAMAGNT
135,DALMIASUG
136,INOXWIND
137,TRIVENI
138,SUPRAJIT
139,ZENTEC
140,BSOFT
141,GNA
142,TIIL
143,VIDHIING
144,PAISALO
145,STEELXIND
146,TRIL
147,PRECAM
148,MANUGRAPH
149,MASTEK
150,POLYCAB
151,ASTRAMICRO
152,VRLLOG
153,SONATSOFTW
154,RADICO
155,BBL
156,MPHASIS
157,DBREALTY
158,SFL
159,TEXMOPIPES
160,ZOTA
161,APOLLOPIPE
162,ARENTERP
163,HEG
164,MOLDTKPAC
165,IBREALEST
166,TNPETRO
167,ASAHIINDIA
168,BHAGYANGR
169,DOLLAR
170,NATIONALUM
171,SUBEXLTD
172,SIRCA
173,BYKE
174,PGIL
175,CYIENT
176,VTL
177,BLBLIMITED
178,BEDMUTHA
179,PRICOLLTD
180,NIITLTD
181,TIINDIA
182,SPECIALITY
183,MTNL
184,VSSL
185,THERMAX
186,POLYPLEX
187,HBLPOWER
188,GOKUL
189,COFORGE
190,BHARATGEAR
191,VHL
192,FINCABLES
193,AYMSYNTEX
194,POWERINDIA
195,DEEPAKNTR
196,BOROLTD
197,JAGSNPHARM
198,UNIVPHOTO
199,INTELLECT
200,MINDAIND
201,ALICON
202,CENTURYTEX
203,TCNSBRANDS
204,TVTODAY
205,KHADIM
206,NETWORK18
207,PUNJABCHEM
208,BEML
209,SHIVATEX
210,DWARKESH
211,APCOTEXIND
212,GPTINFRA
213,ARVINDFASN
214,ORIENTCEM
215,DMART
216,BANSWRAS
217,UNIVASTU
218,JUBLINDS
219,KHANDSE
220,TATACHEM
221,LTI
222,ASHIANA
223,NEOGEN
224,SURYAROSNI
225,INDBANK
226,URJA
227,MANAKSTEEL
