,SYMBOL
0,LFIC
1,INDTERRAIN
2,MANUGRAPH
3,TRIDENT
4,SPTL
5,JBMA
6,DHUNINV
7,SHALPAINTS
8,NRBBEARING
9,ELECON
10,ONWARDTEC
11,ENERGYDEV
12,PALREDTEC
13,VIVIDHA
14,SIRCA
15,SUULD
16,LYKALABS
17,SPICEJET
18,MTNL
19,ESCORTS
20,BHANDARI
21,OSWALAGRO
22,GREAVESCOT
23,PRECAM
24,BSOFT
25,TVTODAY
26,LUMAXIND
27,VARROC
28,RAJESHEXPO
29,APOLLOHOSP
30,FINCABLES
31,KABRAEXTRU
32,THERMAX
33,UTISENSETF
34,MOTOGENFIN
35,NH
36,TIMETECHNO
37,IDEA
38,WELCORP
39,MARUTI
40,TDPOWERSYS
41,SCI
42,TWL
43,INDLMETER
44,SOLARINDS
45,ESABINDIA
46,JINDWORLD
47,BCP
48,21STCENMGM
49,RADAAN
50,KDDL
51,AKZOINDIA
52,CYIENT
53,ICRA
54,POWERGRID
55,TCIEXP
56,VAIBHAVGBL
57,SUBEXLTD
58,PRESSMN
59,VOLTAMP
60,ASIANPAINT
61,BSE
62,KEC
63,SUNCLAYLTD
64,GLOBALVECT
65,URJA
66,PGIL
67,WELENT
68,MINDTECK
69,ORICONENT
70,CEREBRAINT
71,WABAG
72,KHANDSE
73,SYNGENE
74,KITEX
75,WENDT
76,JUMPNET
77,SALZERELEC
78,KPITTECH
79,NUCLEUS
80,BOROLTD
81,SEYAIND
82,SFL
83,JHS
84,GOKEX
85,CHAMBLFERT
86,VIMTALABS
87,GALAXYSURF
88,GENESYS
89,SUPRAJIT
90,SIS
91,TECHNOE
92,VSTTILLERS
93,VEDL
94,NXTDIGITAL
95,TCNSBRANDS
96,BAYERCROP
97,KRIDHANINF
98,THANGAMAYL
99,RADICO
100,RANEENGINE
101,FSL
102,NEXTMEDIA
103,ARSSINFRA
104,DCAL
105,BIRLATYRE
106,HBLPOWER
107,GSS
108,BBL
109,BHARTIARTL
110,NACLIND
111,PIONEEREMB
112,ENGINERSIN
113,TATACOMM
114,KEI
115,DPABHUSHAN
116,DABUR
117,LTTS
118,EBBETF0431
119,CMICABLES
