,SYMBOL
0,FRETAIL
1,BAJAJELEC
2,TASTYBITE
3,KPRMILL
4,GALAXYSURF
5,BAYERCROP
6,SFL
7,JCHAC
8,WIPRO
9,INFY
10,HATSUN
11,AVANTIFEED
12,EMAMILTD
13,MAXHEALTH
14,MINDAIND
15,KEC
16,GODREJIND
17,SUNPHARMA
18,LTI
19,DHANUKA
20,PIDILITIND
21,AMBER
22,PERSISTENT
23,GLAND
24,KSCL
25,MASTEK
26,KANSAINER
27,JBCHEPHARM
28,EPL
29,CIPLA
30,HCLTECH
31,KAJARIACER
32,AEGISCHEM
33,JMFINANCIL
34,VINATIORGA
35,ASAHIINDIA
36,SUNDRMFAST
37,BLUESTARCO
38,TRIDENT
39,CARBORUNIV
40,CROMPTON
41,GRINDWELL
42,SUNDARMFIN
43,GARFIBRES
44,AJANTPHARM
45,PHOENIXLTD
46,POWERGRID
47,DCMSHRIRAM
48,BHARATRAS
49,RAJESHEXPO
50,AIAENG
51,TORNTPHARM
52,ASIANPAINT
53,ERIS
54,RATNAMANI
55,TCS
56,DRREDDY
57,NESTLEIND
58,CASTROLIND
59,SWSOLAR
60,ABBOTINDIA
61,FINEORG
62,ESCORTS
63,HINDUNILVR
64,GODREJAGRO
65,ASTRAZEN
66,MIDHANI
67,TRENT
68,IPCALAB
69,GMMPFAUDLR
70,BERGEPAINT
71,RITES
72,RADICO
73,MAHLOG
74,SYMPHONY
75,GNFC
76,MOIL
77,MOTILALOFS
78,LALPATHLAB
79,SANOFI
80,VTL
81,ALKEM
82,M&M
83,WABCOINDIA
84,TECHM
85,NAVINFLUOR
86,HONAUT
87,ISEC
88,MARUTI
89,MPHASIS
90,CHOLAHLDNG
91,CERA
92,COLPAL
93,HEIDELBERG
94,ZENSARTECH
95,BRITANNIA
96,ULTRACEMCO
97,AUROPHARMA
98,UTIAMC
99,EICHERMOT
100,ZYDUSWELL
101,UBL
102,TIINDIA
103,CYIENT
104,GPPL
105,LT
106,STARCEMENT
107,SIS
108,ALKYLAMINE
109,ATUL
110,NTPC
111,DABUR
112,PGHL
113,SBICARD
114,GILLETTE
115,SHREECEM
116,PIIND
117,SRF
118,BDL
119,RALLIS
120,INTELLECT
121,MARICO
122,BLUEDART
123,GRAPHITE
124,3MINDIA
125,BAJAJCON
126,APLAPOLLO
127,CRISIL
128,TATACONSUM
129,DMART
130,COROMANDEL
131,GICRE
132,APLLTD
133,JSWSTEEL
134,NAUKRI
135,PHILIPCARB
136,GODREJCP
137,RAMCOCEM
138,RELAXO
139,PRSMJOHNSN
140,RELIANCE
141,PRINCEPIPE
142,WESTLIFE
143,METROPOLIS
144,TRITURBINE
145,IFBIND
146,GODFRYPHLP
147,FINPIPE
148,HAVELLS
149,RCF
150,NLCINDIA
151,COCHINSHIP
152,COFORGE
153,CADILAHC
154,VMART
155,ENDURANCE
156,BHARTIARTL
157,VGUARD
158,SYNGENE
159,ASHOKLEY
160,JKCEMENT
161,TITAN
162,EQUITASBNK
163,ENGINERSIN
164,SHILPAMED
165,IRB
166,CCL
167,SUNTECK
168,IOLCP
169,PETRONET
170,HDFCBANK
171,HEROMOTOCO
172,AAVAS
173,AXISBANK
174,SJVN
175,CONCOR
176,INGERRAND
177,UPL
178,SUPRAJIT
179,SOBHA
180,FORTIS
181,GLENMARK
182,DIVISLAB
183,SBILIFE
184,PAGEIND
185,KOTAKBANK
186,JKTYRE
187,HDFCLIFE
188,CENTRALBK
189,BASF
190,VOLTAS
191,CAMS
192,POWERINDIA
193,NILKAMAL
194,WELSPUNIND
195,DIXON
196,POLYMED
197,COALINDIA
198,IRCON
199,HAL
200,MRF
201,BAJAJ-AUTO
202,IGL
203,VALIANTORG
204,PEL
205,KNRCON
206,ICICIGI
207,EIHOTEL
208,SCHAEFFLER
209,NMDC
210,MUTHOOTFIN
211,DEEPAKNTR
212,PGHH
213,REDINGTON
214,THERMAX
215,EIDPARRY
216,LAOPALA
217,BALKRISIND
218,DALBHARAT
219,ALEMBICLTD
220,ICICIPRULI
221,TEAMLEASE
222,BAJFINANCE
223,ITI
224,ROUTE
225,GRASIM
226,BALAMINES
227,KRBL
228,NIACL
229,CHALET
230,HINDALCO
231,MFSL
232,HUDCO
233,SUMICHEM
234,PRESTIGE
235,CENTURYTEX
236,SONATSOFTW
237,VAKRANGEE
238,SHARDACROP
239,DCBBANK
240,SIEMENS
241,GSFC
242,CHAMBLFERT
243,SUVENPHAR
244,ICICIBANK
245,UJJIVANSFB
246,CEATLTD
247,FDC
248,RVNL
249,SKFINDIA
250,SCHNEIDER
251,ROSSARI
252,ADVENZYMES
253,JSL
254,STLTECH
255,GUJALKALI
256,HIKAL
257,ABB
258,KEI
259,GAEL
260,TIMKEN
261,MMTC
262,ASTRAL
263,APOLLOTYRE
264,ORIENTELEC
265,MCDOWELL-N
266,GAIL
267,IOB
268,BEL
269,MINDTREE
270,LAURUSLABS
271,HDFCAMC
272,IIFLWAM
273,PNCINFRA
274,TCNSBRANDS
275,ICIL
276,CREDITACC
277,SAIL
278,BALRAMCHIN
279,SUPREMEIND
280,ITC
281,PFIZER
282,NHPC
283,KSB
284,MAHINDCIE
285,IRCTC
286,PFC
287,LTTS
288,LUPIN
289,CUMMINSIND
290,BOSCHLTD
291,KALPATPOWR
292,BIOCON
293,LAXMIMACH
294,ASHOKA
295,JINDALSAW
296,NESCO
297,HDFC
298,EDELWEISS
299,LUXIND
300,MAZDOCK
301,UCOBANK
302,AMARAJABAT
303,OFSS
304,EXIDEIND
305,NH
306,WHIRLPOOL
307,INDOCO
308,AMBUJACEM
309,FINCABLES
310,GLAXO
311,TCIEXP
312,BSOFT
313,ADANIENT
314,BAJAJFINSV
315,BATAINDIA
316,RECLTD
317,MGL
318,TORNTPOWER
319,INDIAMART
320,MHRIL
321,RAIN
322,IOC
323,HEMIPROP
324,ASTERDM
325,SOLARINDS
326,INDHOTEL
327,MAHABANK
328,MRPL
329,NFL
330,AARTIIND
331,UJJIVAN
332,GUJGASLTD
333,MINDACORP
334,L&TFH
335,TVSMOTOR
336,INDIGO
337,SBIN
338,SPICEJET
339,TATASTEEL
340,CGCL
341,QUESS
342,BPCL
343,HINDPETRO
344,ADANIPORTS
345,HINDZINC
346,INFIBEAM
347,NATIONALUM
348,NATCOPHARM
349,FACT
350,CAPLIPOINT
351,PNB
352,THYROCARE
353,YESBANK
354,CUB
355,TATACOFFEE
356,TATAMOTORS
357,UFLEX
358,GSPL
359,ABCAPITAL
360,TATAPOWER
361,JINDALSTEL
362,ONGC
363,JSLHISAR
364,ACC
365,HATHWAY
366,AARTIDRUGS
367,ABFRL
368,VBL
369,LINDEINDIA
370,INOXLEISUR
371,BAJAJHLDNG
372,TATACOMM
373,EQUITAS
374,SPARC
375,BIRLACORPN
376,JUBLFOOD
377,OBEROIRLTY
378,JYOTHYLAB
379,GRANULES
380,SUDARSCHEM
381,APOLLOHOSP
382,BHARATFORG
383,TATACHEM
384,TATAELXSI
385,INDIACEM
386,NBCC
387,VENKEYS
388,CANFINHOME
389,LICHSGFIN
390,MANAPPURAM
391,VEDL
392,JAMNAAUTO
393,CESC
394,IDFCFIRSTB
395,FSL
396,NCC
397,SUNTV
398,ZEEL
399,IDEA
400,POLYPLEX
401,INDUSINDBK
402,GESHIP
403,JKPAPER
404,POLYCAB
405,LEMONTREE
406,WOCKPHARMA
407,VIPIND
408,SCI
409,SOLARA
410,NAM-INDIA
411,BRIGADE
412,NOCIL
413,SPANDANA
414,GREAVESCOT
415,FEDERALBNK
416,M&MFIN
417,BBTC
418,FLUOROCHEM
419,INDIANB
420,IDBI
421,CHOLAFIN
422,VAIBHAVGBL
423,CENTURYPLY
424,CANBK
425,HINDCOPPER
426,ELGIEQUIP
427,UNIONBANK
428,KPITTECH
429,BANKINDIA
430,SEQUENT
431,BHEL
432,BANDHANBNK
433,DLF
434,PVR
435,HEG
436,BEML
437,IDFC
438,JKLAKSHMI
439,CSBBANK
440,JUSTDIAL
441,DHANI
442,MCX
443,DELTACORP
444,BANKBARODA
445,SRTRANSFIN
446,GODREJPROP
447,KARURVYSYA
448,RBLBANK
449,DBL
450,OIL
451,SHRIRAMCIT
452,VARROC
453,STAR
454,IEX
455,AUBANK
456,TATAMTRDVR
457,IBREALEST
458,BSE
459,ALOKINDS
460,TTKPRESTIG
461,IBULHSGFIN
462,TV18BRDCST
463,WELCORP
464,NETWORK18
