,SYMBOL,tp,wp,mp,tmp,smp,yp,Value
160,BOROLTD,423.9,323.95,255.7,221.7,217.15,158.4,1.308535267788239
314,FEL,11.6,9.45,8.95,8.7,11.75,10.35,1.2275132275132277
1203,WEBELSOLAR,102.9,84.35,76.05,65.4,53.25,22.55,1.2199170124481329
294,ENERGYDEV,24.95,20.65,10.85,9.15,13.1,6.75,1.208232445520581
1153,URJA,13.55,11.25,7.6,6.35,7.65,3.5,1.2044444444444444
505,INDLMETER,23.55,19.65,12.75,11.85,13.8,14.4,1.1984732824427482
680,MANAKCOAT,22.8,19.05,19.8,14.75,14.05,5.5,1.1968503937007875
1034,STEELXIND,141.25,118.15,76.1,72.45,57.3,32.3,1.1955141768937791
360,GLOBALVECT,63.55,53.2,56.3,51.6,50.7,51.9,1.194548872180451
315,FELDVR,14.2,12.0,11.8,12.0,15.05,13.7,1.1833333333333333
918,ROLLT,3.9,3.3,2.8,2.25,3.3,2.2,1.1818181818181819
328,FRETAIL,57.5,48.85,50.15,47.65,66.95,82.65,1.1770726714431934
783,NITCO,32.75,28.05,22.75,23.15,28.6,19.9,1.1675579322638145
397,GTNTEX,15.25,13.15,8.4,7.3,8.6,5.55,1.1596958174904943
321,FLFL,59.8,52.1,57.75,55.55,76.15,94.25,1.147792706333973
311,FCONSUMER,8.2,7.15,7.15,7.35,9.85,8.2,1.1468531468531467
458,ICEMAKE,70.55,61.8,68.5,74.45,85.15,86.45,1.1415857605177993
109,BAJAJELEC,1289.1,1146.5,1158.85,1513.45,1036.0,572.55,1.124378543392935
636,LASA,70.75,63.9,63.4,76.45,82.65,85.3,1.1071987480438186
354,GINNIFILA,38.85,35.3,31.75,33.05,32.6,17.65,1.1005665722379605
1061,SWANENERGY,138.15,125.7,130.5,130.45,143.55,139.25,1.0990453460620526
715,MINDTECK,169.9,154.65,93.0,83.7,65.75,36.6,1.0986097639831878
142,BHANDARI,7.65,7.0,3.5,3.3,3.7,1.2,1.092857142857143
1071,TASTYBITE,14269.75,13058.25,16916.7,18344.65,15303.15,11415.95,1.0927765971703711
28,AGROPHOS,29.55,27.05,16.3,16.45,13.65,11.35,1.0924214417744917
1174,VERTOZ,100.65,93.0,99.6,103.25,196.8,182.2,1.082258064516129
559,JINDWORLD,210.3,194.35,139.75,87.5,62.85,51.0,1.0820684332390018
963,SETCO,18.05,16.7,17.2,20.65,23.1,12.4,1.0808383233532934
782,NIPPOBATRY,467.45,432.9,1006.35,1002.5,939.85,673.55,1.07981057981058
865,PRECWIRE,378.9,354.1,256.65,240.05,235.95,153.0,1.0700367127929962
379,GOODLUCK,300.5,284.55,322.5,283.85,106.4,45.8,1.056053417677034
970,SGL,17.0,16.1,14.6,13.05,11.55,6.55,1.0559006211180124
735,MTNL,25.25,24.0,18.15,18.55,21.4,9.55,1.0520833333333333
625,KPRMILL,585.05,556.35,423.05,2118.8,1524.95,805.5,1.051586231688685
333,GALAXYSURF,3020.45,2887.6,3284.35,3418.0,3033.15,1939.8,1.0460070646904003
1114,TOKYOPLAST,97.3,93.15,99.35,103.15,97.1,68.25,1.0445517981749866
128,BAYERCROP,4913.15,4713.45,5024.35,5342.6,5626.65,5046.8,1.0423681167722156
374,GOKUL,40.75,39.2,27.5,27.25,30.1,13.8,1.0395408163265305
969,SFL,3308.55,3186.4,2439.4,2357.65,2299.2,1531.85,1.0383347978910369
992,SHYAMCENT,13.85,13.35,12.45,10.95,9.7,3.9,1.0374531835205993
787,NORBTEAEXP,8.6,8.3,7.1,7.1,6.55,9.0,1.0361445783132528
725,MORARJEE,21.1,20.4,18.7,15.8,18.3,10.3,1.0343137254901962
553,JCHAC,2010.75,1946.05,2120.0,2174.65,2257.7,2286.4,1.0332468333290512
1055,SURANAT&P,9.85,9.55,8.9,7.15,6.65,3.8,1.031413612565445
605,KIOCL,241.15,233.85,262.95,251.2,263.1,115.7,1.0312165918323712
