SYMBOL,LOW_x,LOW_y,Value
ARIHANT,61.45,25.3,2.42885375494071
JINDALPHOT,210.1,118.1,1.77900084674005
MGEL,87,50.6,1.71936758893281
AKG,39.9,23.5,1.69787234042553
SANGAMIND,258.2,156,1.65512820512821
MAHSEAMLES,485.7,312.65,1.55349432272509
SPTL,6.35,4.2,1.51190476190476
BESTAGRO,1083.6,725,1.49462068965517
SINTEX,5.6,3.75,1.49333333333333
TCI,616,414.05,1.48774302620456
TANLA,1220.7,825,1.47963636363636
NETWORK18,74,50.8,1.45669291338583
TATAPOWER,201.4,138.9,1.44996400287977
PRIMESECU,123,85.1,1.44535840188014
TATAMOTORS,467.7,324,1.44351851851852
BORORENEW,425,297,1.43097643097643
TRIDENT,35.8,25.35,1.41222879684418
TATAMTRDVR,238.65,169.1,1.41129509166174
VISASTEEL,15.3,10.95,1.3972602739726
DBREALTY,35.25,25.7,1.3715953307393
UNIVASTU,61.8,45.5,1.35824175824176
KDDL,592.25,440.15,1.34556401226854
ARVIND,126.25,94.4,1.33739406779661
ANSALAPI,11.9,8.9,1.33707865168539
JINDWORLD,120.05,90.05,1.33314825097168
UMESLTD,4.9,3.7,1.32432432432432
TBZ,97.4,73.6,1.32336956521739
UGROCAP,161.2,122.1,1.32022932022932
MANAKCOAT,17.8,13.5,1.31851851851852
SHOPERSTOP,337,256,1.31640625
KKCL,1170.8,890.5,1.31476698483998
BANSWRAS,186.6,142.1,1.31315974665728
AMDIND,34,26.05,1.30518234165067
UNIDT,428.85,330.5,1.29757942511346
BEDMUTHA,46,35.5,1.29577464788732
GOKULAGRO,55.15,43,1.28255813953488
EASTSILK,4.55,3.55,1.28169014084507
BIGBLOC,140.75,110.15,1.27780299591466
UNIONBANK,44.4,34.75,1.27769784172662
GANESHHOUC,194.15,152.5,1.27311475409836
VIMTALABS,344.1,270.6,1.27161862527716
VASWANI,14.05,11.05,1.27149321266968
IRB,221.3,174.05,1.27147371444987
PATELENG,23.3,18.35,1.26975476839237
RSWM,377.55,298.2,1.26609657947686
ACCURACY,163.55,129.55,1.26244693168661
ASALCBR,522.15,413.95,1.26138422514796
MSTCLTD,378.7,300.3,1.26107226107226
KPIGLOBAL,161.2,128.05,1.25888324873096
MFL,870,692,1.25722543352601
IVZINGOLD,4272.5,3400.25,1.25652525549592
DCMNVL,250.55,200.05,1.25243689077731
CENTRUM,39.45,31.5,1.25238095238095
BOROLTD,264.4,211.5,1.25011820330969
SEPOWER,9.5,7.6,1.25
TRITURBINE,172.15,137.95,1.24791591156216
ADSL,86.35,69.5,1.24244604316547
RADICO,1096.15,882.5,1.24209631728045
BSL,77,62,1.24193548387097
BANARBEADS,75,60.4,1.24172185430464
AMBIKCO,2041,1644.9,1.24080491215271
PRAKASHSTL,2.4,1.95,1.23076923076923
AKASH,222.7,180.95,1.23072672008842
LEMONTREE,52.6,42.8,1.22897196261682
NIBL,22.3,18.15,1.22865013774105
SARDAEN,804.45,656.1,1.22610882487426
GODFRYPHLP,1287.05,1050.1,1.22564517664984
AKSHARCHEM,500.2,409,1.22298288508557
TMRVL,15.7,12.85,1.22178988326848
TTL,81.2,66.5,1.22105263157895
GMBREW,713.05,584,1.22097602739726
KHADIM,271.25,222.3,1.22019793072425
PTC,121.3,99.5,1.21909547738693
AARVEEDEN,25.85,21.25,1.21647058823529
ALMONDZ,117.3,96.55,1.21491455204557
INDIANB,155.6,128.1,1.21467603434817
NDL,78.85,64.95,1.21401077752117
ALLSEC,500,413,1.21065375302663
PGEL,478.75,395.5,1.21049304677623
TTKPRESTIG,10600.05,8765,1.20936109526526
SMLISUZU,671.35,555.5,1.20855085508551
