,SYMBOL
0,TANLA
1,NETWORK18
2,TATAPOWER
3,TATAMOTORS
4,TRIDENT
5,TATAMTRDVR
6,UNIONBANK
7,IRB
8,TRITURBINE
9,RADICO
10,LEMONTREE
11,GODFRYPHLP
12,INDIANB
13,TTKPRESTIG
14,FEDERALBNK
15,TCIEXP
16,GUJALKALI
17,BANKBARODA
18,CANBK
19,MINDACORP
20,TVSMOTOR
21,LTI
22,GRINDWELL
23,MANAPPURAM
24,MAHINDCIE
25,JSL
26,CENTURYPLY
27,SOLARINDS
28,HOMEFIRST
29,SONACOMS
30,INGERRAND
31,PAGEIND
32,JSLHISAR
33,RELAXO
34,IIFL
35,HINDCOPPER
36,TCNSBRANDS
37,PERSISTENT
38,JINDALSTEL
39,VMART
40,ABFRL
41,BEML
42,ASAHIINDIA
43,SCI
44,IDBI
45,ENDURANCE
46,ICICIBANK
47,RVNL
48,SBIN
49,TITAN
50,KALYANKJIL
51,INOXLEISUR
52,BATAINDIA
53,SRTRANSFIN
54,CUB
55,DBL
56,UCOBANK
57,MRPL
58,DIXON
59,BRIGADE
60,LAXMIMACH
61,MAHABANK
62,SUNTV
63,VTL
64,NATIONALUM
65,MOTILALOFS
66,FINEORG
67,ABB
68,IEX
69,DMART
70,MINDTREE
71,CHOLAFIN
72,KEC
73,CYIENT
74,ASHOKLEY
75,INFIBEAM
76,BIRLACORPN
77,RAJESHEXPO
78,MCDOWELL-N
79,M&M
80,BANKINDIA
81,EIDPARRY
82,EIHOTEL
83,NLCINDIA
84,SUZLON
85,AMBER
86,TV18BRDCST
87,DIVISLAB
88,KALPATPOWR
89,TECHM
90,GPPL
91,JAMNAAUTO
92,VIPIND
93,SWSOLAR
94,BOSCHLTD
95,BDL
96,METROPOLIS
97,GMMPFAUDLR
98,CESC
99,HINDPETRO
100,NHPC
101,SHILPAMED
102,IFBIND
103,BHEL
104,ASHOKA
105,PNB
106,BLUESTARCO
107,KPRMILL
108,KSB
109,SUPRAJIT
110,ONGC
111,UJJIVANSFB
112,INDIACEM
113,IDFCFIRSTB
114,FINPIPE
115,EQUITASBNK
116,INDHOTEL
117,MPHASIS
118,WABCOINDIA
119,ASTRAL
120,IBREALEST
121,CGCL
122,MINDAIND
123,EQUITAS
124,CHAMBLFERT
125,IRFC
126,UBL
127,BANDHANBNK
128,KARURVYSYA
129,UFLEX
130,AAVAS
131,IOC
132,SFL
133,ERIS
134,SHRIRAMCIT
135,PVR
136,AARTIIND
137,BSE
138,NH
139,SJVN
140,VEDL
141,IOB
142,3MINDIA
143,YESBANK
144,ORIENTELEC
145,TIINDIA
146,ABBOTINDIA
147,JKCEMENT
148,WIPRO
149,SIEMENS
150,GSFC
151,SBICARD
152,GRASIM
153,TATAELXSI
154,GARFIBRES
155,CENTRALBK
