,SYMBOL,tp,wp,mp,tmp,smp,yp,Value
253,DCMNVL,299.95,318.5,235.9,201.4,118.4,28.7,887.9412942489225
1017,SHAREINDIA,887.95,872.45,783.0,515.4,458.75,109.35,731.6564683043354
354,GANESHHOUC,220.8,206.85,202.35,123.95,62.15,27.6,724.9500959806394
687,LYKALABS,116.7,100.5,84.9,73.3,60.4,18.1,658.9180481249532
1,21STCENMGM,62.75,59.25,50.1,29.4,14.85,9.8,634.8307034858209
274,DNAMEDIA,2.4,2.65,2.55,1.8,1.7,0.35,620.986205803076
1067,SPTL,11.55,9.1,5.55,4.0,3.75,2.5,614.5203742203742
360,GENESYS,276.7,279.7,265.8,131.35,98.65,43.5,606.077937274048
398,GOODLUCK,282.1,291.7,303.45,271.5,98.1,44.6,591.5090546135715
432,HBSL,35.9,40.55,38.2,42.65,18.1,5.6,589.8102561128906
44,ALMONDZ,111.05,130.2,129.15,69.2,35.3,17.05,586.036389521834
396,GOLDIAM,911.35,913.85,958.8,749.35,423.25,152.6,573.4621387860354
1166,TRIDENT,45.2,39.65,41.85,20.2,16.65,8.15,571.6925765531853
297,ELECON,182.15,173.45,157.6,163.0,89.4,32.95,568.3602592100657
856,PARSVNATH,16.85,19.3,15.2,13.1,8.85,3.05,546.1737969797083
963,RSWM,440.4,472.3,334.6,322.85,238.5,91.3,525.2414659809949
249,DBREALTY,40.3,46.55,42.4,21.3,20.25,7.85,505.81029714525295
647,KPITTECH,449.45,403.7,345.75,332.15,245.05,105.85,504.32285861872845
882,PITTIENG,204.3,198.3,173.3,162.75,67.55,45.55,500.6617412410789
26,AGARIND,375.5,384.25,351.5,308.85,218.75,80.05,498.77111466479886
394,GOKULAGRO,59.85,69.15,43.25,39.9,28.0,13.55,498.197649773195
718,MARALOVER,79.35,85.5,80.85,74.1,38.45,16.45,494.67829216589416
22,ADSL,106.55,128.75,84.7,58.1,56.4,23.65,488.8180706585846
615,KDDL,662.25,601.5,512.85,369.1,290.95,165.45,486.4947336485448
571,JBMA,890.7,702.4,599.0,466.3,425.35,257.9,485.1243070156794
