,SYMBOL,tp,wp,mp,tmp,smp,yp,Value
43,ALMONDZ,126.4,133.35,99.9,64.65,27.3,12.3,19.074749252453103
251,DCMNVL,273.95,243.9,222.95,206.2,89.4,26.5,17.082575095977703
348,GANESHHOUC,205.9,202.05,171.75,119.35,73.65,24.9,15.00779968474636
994,SHAREINDIA,773.0,795.2,696.6,556.0,379.65,99.65,13.265281725444856
389,GOODLUCK,284.95,307.3,309.65,304.15,92.05,38.65,13.252550145656345
699,MANINFRA,128.05,122.55,109.65,65.1,38.8,25.6,12.4818710417971
1142,TRIDENT,39.8,39.9,29.4,22.15,13.9,7.55,12.28290749138005
74,ARIHANT,58.4,58.7,26.3,27.15,17.7,16.15,12.281968577653707
387,GOLDIAM,962.9,979.65,925.15,600.2,396.0,156.65,12.206394604708102
421,HBSL,34.5,35.85,37.9,29.4,16.45,5.15,11.842396285359992
671,LYKALABS,98.55,95.15,76.8,84.9,41.1,17.05,11.657582433237598
702,MARALOVER,82.35,77.5,80.2,84.55,36.85,13.95,11.201329739056781
248,DBREALTY,37.65,40.1,27.8,25.85,19.75,6.85,11.152378459314534
396,GRAVITA,225.5,202.9,197.8,193.45,93.55,42.6,11.121004160315366
757,NAHARCAP,319.75,282.55,284.9,366.65,101.65,66.35,11.090805389033068
294,ELECON,164.35,157.35,168.35,144.35,92.0,26.85,11.066734793334899
835,PARSVNATH,14.85,14.35,14.75,15.85,7.6,2.45,10.99370324215899
878,PRAKASHSTL,2.65,2.6,2.05,1.7,1.0,0.6,10.93740389213847
1098,TATAMTRDVR,251.8,266.95,186.55,141.35,131.45,56.5,10.446608096069273
978,SEPOWER,10.85,10.8,8.7,9.65,4.3,2.4,10.420197545304276
223,CONSOFINVT,151.9,154.45,139.8,124.5,59.3,33.8,10.345756614889966
1099,TATAPOWER,222.95,225.3,163.75,131.65,102.9,54.7,10.287136727131756
440,HGINFRA,752.45,810.25,655.35,591.05,281.85,178.35,10.238536394327024
868,POKARNA,583.15,553.85,500.55,447.1,246.1,137.65,10.128249754985667
1248,ZENTEC,212.55,216.55,215.45,89.85,72.85,74.0,10.123613946198446
80,ARVIND,143.6,136.6,94.45,108.2,73.6,33.8,10.09840523402921
245,DATAMATICS,321.2,321.9,300.85,278.75,138.7,70.7,10.076683591008242
22,ADSL,93.35,84.25,75.75,64.8,47.5,21.8,10.028314773150576
1130,TIRUMALCHM,282.1,281.7,299.9,203.8,95.35,76.15,9.989371236642516
385,GOKULAGRO,54.45,48.05,43.0,43.6,23.4,13.65,9.964260935680505
928,RGL,915.45,869.95,798.15,670.05,381.85,234.2,9.87175399633098
1102,TCI,688.15,581.5,423.3,446.25,278.75,227.95,9.83872034105903
997,SHIVAMILLS,101.35,95.35,87.3,108.95,46.5,23.0,9.74020021412595
601,KDDL,571.45,470.1,442.25,367.5,303.15,156.85,9.591031043233224
256,DELTAMAGNT,67.2,66.7,52.5,57.2,28.7,17.75,9.58970033429113
493,IEX,734.05,732.0,620.35,421.85,395.0,194.4,9.560489459127929
861,PITTIENG,170.7,173.95,155.75,201.05,65.75,43.35,9.460260137500178
584,JUBLINDS,560.0,566.4,496.15,409.95,331.95,130.65,9.456673788482483
452,HITECH,613.8,593.15,584.8,644.0,364.75,130.05,9.440028940612184
728,MINDTREE,4733.7,4550.9,4184.6,2830.2,2248.35,1356.7,9.438493086753088
691,MANAKCOAT,18.15,18.5,14.1,13.35,16.25,3.9,9.398634916201257
833,PANAMAPET,269.1,265.0,268.2,296.0,180.15,55.35,9.283492846315664
57,ANSALAPI,13.1,12.95,8.95,9.5,5.5,4.3,9.282547340567213
550,JAGSNPHARM,175.65,176.4,155.6,183.7,96.5,40.25,9.264965301603283
331,FLUOROCHEM,1896.3,1804.85,1952.1,1763.75,813.45,497.3,9.241610038909293
1177,USHAMART,90.7,89.9,87.45,67.85,51.55,22.3,9.209556574018672
1097,TATAMOTORS,485.7,508.65,333.3,298.15,301.25,139.0,9.147698835094346
566,JISLJALEQS,44.6,43.8,36.35,32.9,18.7,14.2,9.126719858918316
55,ANGELBRKG,1229.95,1292.65,1439.25,1273.55,512.2,311.55,9.120986535945772
885,PRIMESECU,120.1,124.8,83.0,112.8,42.15,43.9,9.059154673612372
578,JSL,197.5,192.35,168.35,157.65,90.35,58.4,9.020493285557823
712,MAXVIL,127.75,126.25,116.35,94.6,58.1,38.3,8.994588572262321
