,SYMBOL
0,TRIDENT
1,SPICEJET
2,ESCORTS
3,GREAVESCOT
4,BSOFT
5,VARROC
6,RAJESHEXPO
7,APOLLOHOSP
8,FINCABLES
9,THERMAX
10,NH
11,IDEA
12,WELCORP
13,MARUTI
14,SCI
15,SOLARINDS
16,CYIENT
17,POWERGRID
18,TCIEXP
19,VAIBHAVGBL
20,ASIANPAINT
21,BSE
22,KEC
23,SYNGENE
24,KPITTECH
25,SFL
26,CHAMBLFERT
27,GALAXYSURF
28,SUPRAJIT
29,SIS
30,VEDL
31,TCNSBRANDS
32,BAYERCROP
33,RADICO
34,FSL
35,BHARTIARTL
36,ENGINERSIN
37,TATACOMM
38,KEI
39,DABUR
40,LTTS
41,EMAMILTD
42,BLUESTARCO
43,IFBIND
44,GRANULES
45,GODREJIND
46,AIAENG
47,SUMICHEM
48,TIINDIA
49,LUXIND
50,PGHH
51,ZYDUSWELL
52,AMBER
53,BAJAJHLDNG
54,CHOLAHLDNG
55,POWERINDIA
56,INGERRAND
57,PIIND
58,JSWSTEEL
59,CAMS
60,SBILIFE
61,CRISIL
62,HAVELLS
63,POLYPLEX
64,SYMPHONY
65,POLYMED
66,AVANTIFEED
67,BIOCON
68,BEML
69,GODREJCP
70,DHANI
71,COFORGE
72,PEL
73,ISEC
74,ORIENTELEC
75,ASTRAZEN
76,NHPC
77,SUDARSCHEM
78,TORNTPHARM
79,HINDUNILVR
80,WESTLIFE
81,CSBBANK
82,INFY
83,GICRE
84,AUBANK
85,CGCL
86,DHANUKA
87,MCDOWELL-N
88,QUESS
89,IRCTC
90,SKFINDIA
91,RALLIS
92,HIKAL
93,INDIAMART
94,APLAPOLLO
95,HATSUN
96,WABCOINDIA
97,VBL
98,VINATIORGA
99,KSB
100,HEROMOTOCO
101,ABBOTINDIA
102,KALPATPOWR
103,ABB
104,WIPRO
105,ROSSARI
106,MAHLOG
107,TECHM
108,GLAND
109,AAVAS
110,NESTLEIND
111,MARICO
112,SOLARA
113,REDINGTON
114,BERGEPAINT
115,ITI
116,TCS
117,HDFCBANK
118,NESCO
119,GESHIP
120,ICICIBANK
121,SJVN
122,PGHL
123,SANOFI
124,BBTC
125,SUNTV
126,GRINDWELL
127,HINDZINC
128,M&M
129,EPL
130,HINDALCO
131,ITC
132,SCHAEFFLER
133,KSCL
134,COLPAL
135,PAGEIND
136,IRCON
137,KNRCON
138,BHARATRAS
139,GILLETTE
140,3MINDIA
141,MOIL
142,SWSOLAR
143,STLTECH
144,JAMNAAUTO
145,NMDC
146,SCHNEIDER
147,DCMSHRIRAM
148,PHILIPCARB
149,CARBORUNIV
150,INDUSINDBK
151,PIDILITIND
152,SUNDRMFAST
153,SRTRANSFIN
154,FLUOROCHEM
155,ELGIEQUIP
156,GLAXO
157,FORTIS
158,RAIN
159,BALRAMCHIN
160,ASTRAL
161,AJANTPHARM
162,BALAMINES
163,HDFC
164,RITES
165,SIEMENS
166,SONATSOFTW
167,TVSMOTOR
168,MINDTREE
169,MRF
170,HDFCLIFE
171,PERSISTENT
172,NATIONALUM
173,LINDEINDIA
174,CCL
175,IIFLWAM
176,TIMKEN
177,SHARDACROP
178,TATAMOTORS
179,YESBANK
180,TRENT
181,ASHOKA
182,ICIL
183,DMART
184,FRETAIL
185,LAURUSLABS
186,VAKRANGEE
187,JKLAKSHMI
188,GSPL
189,SBIN
190,SUVENPHAR
191,VIPIND
192,CAPLIPOINT
193,JKCEMENT
194,RATNAMANI
195,NILKAMAL
196,PNB
197,STARCEMENT
198,GARFIBRES
199,EQUITASBNK
200,JMFINANCIL
201,GRASIM
202,SUNDARMFIN
203,CASTROLIND
204,JBCHEPHARM
205,ADANIENT
206,HAL
207,EIDPARRY
208,LT
209,ASAHIINDIA
210,NAUKRI
211,HATHWAY
212,MFSL
213,UCOBANK
214,BRITANNIA
215,HEIDELBERG
216,ALKYLAMINE
217,BAJAJ-AUTO
218,AEGISCHEM
219,KAJARIACER
220,NATCOPHARM
221,KANSAINER
222,HUDCO
223,BASF
224,SRF
225,CIPLA
226,ABCAPITAL
227,GODREJAGRO
228,ERIS
229,ADANIPORTS
230,DIVISLAB
231,TATACONSUM
232,PFIZER
233,BHARATFORG
234,JKPAPER
235,OFSS
236,THYROCARE
237,COCHINSHIP
238,JKTYRE
239,TATAMTRDVR
240,UTIAMC
241,JYOTHYLAB
242,SEQUENT
243,ICICIGI
244,SHILPAMED
245,TATACHEM
246,INDIACEM
247,TASTYBITE
248,SUNPHARMA
249,ULTRACEMCO
250,VTL
251,CUMMINSIND
252,COROMANDEL
253,BANDHANBNK
254,MIDHANI
255,EICHERMOT
256,CERA
257,SUPREMEIND
258,NTPC
259,LTI
260,MPHASIS
261,JINDALSTEL
262,BIRLACORPN
263,HCLTECH
264,TATACOFFEE
265,ATUL
266,MOTILALOFS
267,JCHAC
268,IEX
