,SYMBOL
0,BAJFINANCE
1,ADANIPORTS
2,ICICIBANK
3,SBILIFE
4,TITAN
5,NESTLEIND
6,UPL
7,HINDUNILVR
8,DIVISLAB
9,LT
10,HDFC
11,SBIN
12,KOTAKBANK
13,BAJAJFINSV
14,ASIANPAINT
15,HEROMOTOCO
16,HDFCBANK
17,POWERGRID
18,DRREDDY
19,WIPRO
20,SHREECEM
21,MARUTI
22,BAJAJ-AUTO
23,AXISBANK
24,HDFCLIFE
25,HINDALCO
26,ULTRACEMCO
27,TECHM
28,BPCL
29,EICHERMOT
30,INDUSINDBK
31,ITC
32,M&M
33,BHARTIARTL
34,COALINDIA
35,INFY
36,TATASTEEL
37,IOC
38,NTPC
39,RELIANCE
40,HCLTECH
41,TCS
42,ONGC
43,GRASIM
44,JSWSTEEL
45,CIPLA
46,TATAMOTORS
47,SUNPHARMA
48,BRITANNIA
