,SYMBOL,31-Dec-20,31-Mar-21,30-Jun-21,30-Sep-21,31-Dec-21,,,,
1,TATASTEEL,640,811,1166,1288,1101,0.2671875,0.821875,1.0125,0.7203125
2,INDUSINDBK,899,950,1012,1111,888,0.0567297,0.125695217,0.235817575,-0.012235818
3,BAJFINANCE,5295,5193,6015,7668,6977,-0.019263456,0.135977337,0.44815864,0.317658168
4,KOTAKBANK,1995,1760,1706,1990,1755,-0.117794486,-0.144862155,-0.002506266,-0.120300752
5,BAJAJFINSV,8906,9640,12160,17760,16120,0.082416349,0.36537166,0.99416124,0.81001572
6,ICICIBANK,533,578,632,695,736,0.084427767,0.185741088,0.303939962,0.380863039
7,SBIN,275,351,420,452,451,0.276363636,0.527272727,0.643636364,0.64
8,HDFC,1427,1439,1490,1592,1452,0.00840925,0.044148563,0.11562719,0.017519271
9,AXISBANK,620,695,751,766,668,0.120967742,0.211290323,0.235483871,0.077419355
10,LT,1284,1404,1510,1702,1895,0.093457944,0.176012461,0.325545171,0.475856698
,,,,,,,0.085290195,0.244852222,0.431236375,0.330710818
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,nifty,13981,14690,15721,17618,17354,0.05071168,0.124454617,0.26013876,0.24125599
