,SYMBOL,tp,wp,mp,tmp,smp,yp,Value
17,ADANIGREEN,166.45,2321.85,1833.65,58.25,1146.6,1043.95,2.857510729613734
452,IGARASHI,368.05,395.4,360.15,189.0,521.25,325.2,1.9473544973544974
134,BFUTILITIE,316.25,367.15,333.15,179.55,433.75,230.95,1.7613478139793928
834,RSYSTEMS,70.1,279.35,252.65,39.8,214.6,117.45,1.7613065326633166
667,MTNL,9.45,28.05,22.95,5.8,19.05,15.1,1.629310344827586
507,JINDALSTEL,167.7,562.8,465.1,103.55,389.25,431.55,1.619507484307098
95,AVANTIFEED,584.0,466.25,426.6,367.4,539.15,492.9,1.5895481763745238
1047,VAKRANGEE,47.75,35.45,31.5,30.2,40.5,53.2,1.5811258278145697
217,CUPID,220.15,250.5,241.3,139.65,229.85,211.5,1.5764411027568923
969,TATAMOTORS,185.15,452.05,424.9,117.45,333.35,298.05,1.576415495955726
353,GPIL,231.95,439.65,369.6,147.35,1278.95,765.3,1.5741431964709873
735,ORISSAMINE,1281.5,3096.75,2789.7,820.15,2863.95,2307.5,1.5625190513930378
887,SHREDIGCEM,26.7,75.95,71.75,17.25,77.75,64.3,1.5478260869565217
167,CAMLINFINE,84.05,143.75,143.05,54.6,183.55,137.2,1.5393772893772892
504,JBMA,285.3,514.95,456.7,187.6,520.5,342.05,1.5207889125799574
830,RPGLIFE,310.75,598.25,500.9,204.95,686.15,477.7,1.5162234691388143
665,MSTCLTD,142.4,351.15,314.6,94.55,310.4,252.8,1.506081438392385
201,COMPINFO,15.9,35.5,33.0,10.6,26.0,15.3,1.5
246,DLF,230.9,396.1,355.5,155.6,417.2,234.4,1.4839331619537275
148,BLISSGVS,150.7,83.75,72.2,103.0,109.85,96.9,1.4631067961165047
488,ISEC,406.8,626.85,600.15,278.55,758.35,424.6,1.4604200323101777
710,NMDC,128.9,174.45,150.55,88.7,143.0,137.6,1.4532130777903045
