,SYMBOL,tp,wp,mp,tmp,smp,yp
0,20MICRONS,92.45,88.95,100.4,25.1,62.7,64.45
1,3MINDIA,22400.7,23288.3,24464.95,10948.0,26355.9,26715.8
2,A2ZINFRA,11.2,10.1,11.35,24.3,4.85,6.65
3,AARTIDRUGS,466.25,479.3,496.0,601.65,629.75,552.9
4,AARTIIND,736.5,699.1,773.75,550.25,1156.55,948.3
5,AARVEEDEN,25.35,25.45,26.35,55.8,26.7,26.0
6,ABB,3262.35,3049.75,3296.1,1059.75,1829.5,2211.3
7,ABBOTINDIA,19330.2,19246.95,19056.0,5681.8,21432.2,19754.65
8,ACC,2484.95,2390.3,2384.75,1346.75,2304.4,2571.95
9,ACCELYA,1310.15,1281.05,1098.35,948.35,1377.2,1186.05
10,ACE,334.25,308.55,289.6,37.3,261.2,255.15
11,ADANIENT,3960.6,3347.45,3277.6,80.85,1615.5,1705.2
12,ADANIPORTS,853.0,823.55,816.9,299.0,810.55,750.3
13,ADFFOODS,743.7,711.15,706.65,93.25,949.05,851.3
14,ADORWELD,827.8,845.8,894.35,270.75,710.85,805.6
15,ADSL,108.95,100.15,108.5,27.3,87.75,121.2
16,ADVANIHOTR,83.3,82.75,85.75,45.05,82.1,78.2
17,AEGISCHEM,297.5,310.9,280.35,88.3,226.2,210.2
18,AGARIND,680.1,697.6,715.8,100.15,368.1,373.25
19,AHLUCONT,419.45,435.75,434.4,268.1,359.75,450.4
20,AIAENG,2716.45,2681.75,2525.8,991.7,1915.85,1896.7
21,AJANTPHARM,1246.35,1294.95,1260.35,1479.75,2211.2,2184.4
22,AKSHOPTFBR,10.55,10.65,12.45,16.3,9.1,10.15
23,AKZOINDIA,2106.35,2132.3,2224.35,1381.5,2217.85,2116.0
24,ALANKIT,11.1,11.15,11.75,46.5,17.75,17.05
25,ALEMBICLTD,75.8,70.9,67.3,39.55,113.1,109.85
26,ALICON,876.9,882.3,864.15,351.8,795.9,808.0
27,ALKALI,127.6,121.15,106.05,38.6,93.3,90.9
28,ALKYLAMINE,2952.65,2953.15,2919.5,308.75,3965.05,3284.2
29,ALLCARGO,411.2,432.75,412.7,299.7,279.8,372.95
30,ALLSEC,494.85,536.3,502.35,70.85,483.05,497.15
31,ALMONDZ,80.85,80.75,84.4,9.8,134.7,129.35
32,ALPHAGEO,280.5,282.05,295.85,471.2,445.5,359.6
33,AMARAJABAT,601.85,513.05,500.9,1029.65,726.75,696.7
34,AMBIKCO,1605.9,1618.85,1616.95,850.3,1989.9,2145.8
35,AMBUJACEM,568.1,532.95,521.8,205.8,410.6,422.85
36,AMRUTANJAN,735.7,732.2,722.25,417.75,971.6,953.7
37,ANDHRSUGAR,141.35,140.65,144.95,92.8,677.15,669.05
38,APARINDS,1418.75,1502.85,1447.5,413.5,708.8,722.4
39,APCOTEXIND,499.2,489.3,570.5,264.0,416.05,399.35
40,APLAPOLLO,1098.3,1078.95,1148.2,500.05,860.0,920.0
41,APLLTD,628.1,550.1,617.5,683.65,811.2,780.45
42,APOLLOHOSP,4363.8,4517.5,4394.1,1441.6,4330.4,4669.5
43,APOLLOTYRE,300.75,290.7,271.15,179.95,242.5,232.5
44,APTECHT,359.25,322.45,270.5,57.85,303.6,370.45
45,ARCHIDPLY,75.85,79.45,82.55,40.6,33.15,41.05
46,ARCHIES,19.6,19.75,19.65,25.75,18.25,17.6
47,ARIES,133.7,130.4,140.5,93.55,151.45,153.95
48,AROGRANITE,48.2,47.15,50.6,47.0,63.4,67.35
49,ARSHIYA,11.45,12.4,13.95,27.85,34.8,31.3
50,ARVIND,94.0,92.8,99.0,279.35,130.0,135.65
51,ASAHIINDIA,605.65,615.85,648.65,143.05,379.05,481.65
52,ASAHISONG,292.9,289.25,304.35,127.5,353.8,303.5
53,ASAL,401.35,371.15,408.85,35.35,90.05,139.3
54,ASHAPURMIN,87.2,88.7,92.1,49.2,120.05,117.45
55,ASHIANA,177.3,156.9,161.95,181.05,187.45,190.05
56,ASHIMASYN,14.7,14.7,16.4,10.5,19.4,17.75
57,ASHOKA,74.05,74.0,80.0,168.2,120.45,108.45
58,ASHOKLEY,148.15,153.3,159.65,92.25,144.7,145.7
59,ASIANHOTNR,91.55,94.0,93.65,121.05,88.05,82.8
60,ASIANPAINT,3103.55,3107.7,3343.7,841.6,3241.5,3122.9
61,ASIANTILES,57.1,56.0,57.55,126.9,150.5,140.65
62,ASTEC,2142.6,2167.85,1869.1,239.65,1291.35,1349.65
63,ASTRAL,2097.05,2031.15,2266.0,424.15,2382.75,2295.25
64,ASTRAMICRO,324.65,304.75,319.65,112.55,205.45,275.75
65,ASTRAZEN,3410.85,3299.55,3103.95,1168.4,3109.05,3073.1
66,ATFL,769.8,779.8,736.3,591.95,1048.3,984.85
67,ATUL,8404.7,8373.3,8900.4,1555.5,10694.0,8695.05
68,ATULAUTO,278.05,287.1,214.3,460.95,238.1,233.45
69,AURIONPRO,362.05,382.25,432.3,195.35,218.25,224.3
70,AUROPHARMA,557.3,538.15,539.9,769.2,718.25,687.9
71,AUSOMENT,75.95,68.3,72.1,20.55,67.15,62.65
72,AUTOAXLES,1971.0,1965.8,2061.45,691.8,1380.1,1383.85
73,AUTOIND,107.15,107.7,108.95,47.4,59.45,64.4
74,AVANTIFEED,436.75,441.35,490.0,3224.1,553.7,561.1
75,AVTNPL,113.0,110.9,101.2,30.7,90.6,79.3
76,AXISBANK,872.95,906.0,755.7,495.65,813.3,736.05
77,AXISCADES,334.7,235.95,176.15,264.4,88.35,83.75
78,AXISGOLD,43.8,43.39,44.56,2373.8,40.91,42.41
79,BAJAJ-AUTO,3769.85,3671.85,3603.55,2312.1,3915.95,3635.05
80,BAJAJELEC,1161.9,1169.05,1203.85,250.25,1291.95,1090.3
81,BAJAJFINSV,1778.05,1687.5,1699.0,1729.5,18677.95,18273.8
82,BAJAJHIND,11.15,10.25,11.05,14.0,14.2,14.0
83,BAJAJHLDNG,6764.0,6660.6,6787.45,1570.85,4773.3,4984.3
84,BAJFINANCE,7190.05,7144.1,7345.15,5131.25,7865.55,7579.1
85,BALAJITELE,48.4,47.8,50.9,103.15,65.55,63.75
86,BALAMINES,3057.2,3025.0,3219.0,126.35,4485.1,2978.25
87,BALKRISIND,1965.15,1962.75,1915.5,670.15,2609.85,2361.75
88,BALMLAWRIE,115.0,113.45,115.1,557.5,132.35,126.8
89,BALPHARMA,93.0,91.9,94.45,70.45,103.7,96.75
90,BALRAMCHIN,332.4,315.95,362.95,52.75,390.05,339.65
91,BANARBEADS,83.1,82.3,92.55,29.55,78.6,78.8
92,BANARISUG,2810.95,2811.25,2905.15,713.4,2417.0,2388.5
93,BANCOINDIA,196.85,192.95,184.05,116.7,194.1,195.85
94,BANKBARODA,158.35,147.7,135.3,183.2,93.05,101.35
95,BANKBEES,421.16,417.25,396.35,1737.22,400.39,390.09
96,BANKINDIA,70.65,60.25,48.85,135.6,62.2,61.75
97,BANSWRAS,97.9,98.5,103.85,75.0,193.8,207.6
98,BASF,2736.2,2868.8,2945.0,1083.55,3636.2,2977.2
99,BASML,49.0,47.55,52.75,188.55,63.85,70.15
100,BATAINDIA,1808.0,1828.35,1784.65,1078.25,2120.45,2156.75
101,BAYERCROP,4673.5,4678.45,4747.85,3650.85,5204.05,4700.2
102,BBL,2324.35,2408.6,1950.0,579.4,1377.15,1840.95
103,BBTC,926.15,873.25,934.6,481.25,1147.95,1116.3
104,BEDMUTHA,69.65,68.3,68.5,12.4,54.0,55.25
105,BEL,109.65,106.85,106.25,1135.45,217.15,223.6
106,BEML,1533.8,1576.1,1520.0,1242.6,1639.05,1619.45
107,BEPL,109.95,109.4,121.65,14.6,202.1,180.6
108,BERGEPAINT,614.45,585.8,625.9,219.65,837.9,794.5
109,BFINVEST,284.8,288.05,296.9,124.7,369.8,351.4
110,BFUTILITIE,394.35,391.25,424.2,467.85,461.1,437.55
111,BGRENERGY,71.6,69.7,73.85,105.9,73.15,65.8
112,BHARATFORG,875.5,834.2,767.35,907.55,799.0,775.05
113,BHARATGEAR,141.15,136.7,148.45,82.7,177.75,153.0
114,BHARATRAS,11162.95,10928.7,11061.85,877.05,12000.05,10312.55
115,BHARTIARTL,822.7,832.0,793.1,337.85,680.6,743.5
116,BHEL,75.85,74.05,63.9,205.55,74.6,65.15
117,BIL,202.5,213.1,214.3,535.25,225.75,203.0
118,BINDALAGRO,26.3,26.25,27.45,29.7,23.15,24.05
119,BIOCON,278.4,269.85,282.85,444.6,342.5,346.45
120,BIRLACORPN,1006.0,923.0,944.55,453.3,1445.15,1490.35
121,BIRLAMONEY,62.45,61.05,58.65,23.25,65.8,65.15
122,BLBLIMITED,18.95,19.7,20.2,3.5,12.35,12.35
123,BLISSGVS,77.1,75.5,75.5,181.15,110.35,103.05
124,BLKASHYAP,28.3,27.2,25.5,10.0,29.95,27.95
125,BLUEDART,7288.5,7587.05,9164.6,7490.6,6496.85,6946.1
126,BLUESTARCO,1210.4,1236.15,1155.6,353.1,920.1,1052.5
127,BODALCHEM,82.1,80.85,86.9,30.8,141.6,125.9
128,BOMDYEING,84.75,81.6,99.95,63.25,103.85,96.55
129,BOSCHLTD,16446.2,16488.6,15865.35,19386.8,17659.65,18565.75
130,BPCL,309.75,303.65,307.4,850.7,462.5,427.7
131,BRIGADE,511.55,499.55,520.55,158.3,443.35,502.4
132,BRITANNIA,4139.25,3766.55,3785.65,3082.0,3837.35,3687.95
133,BSL,147.2,138.85,151.6,45.95,81.1,94.5
134,BSLGOLDETF,46.16,45.5,46.83,2418.0,4317.75,4449.8
135,BSLNIFTY,20.46,20.19,19.46,90.95,204.81,201.17
136,BYKE,45.75,41.6,44.35,164.6,35.0,37.6
137,CAMLINFINE,153.05,156.9,114.95,99.0,185.5,180.15
138,CANBK,309.45,290.4,229.05,279.8,198.95,230.8
139,CANFINHOME,521.8,524.35,500.7,913.75,701.55,650.2
140,CAPLIPOINT,737.65,724.85,734.7,1442.25,913.6,862.6
141,CARBORUNIV,841.2,845.85,899.85,159.6,899.4,916.1
142,CAREERP,128.05,130.05,132.25,126.25,154.9,150.95
143,CARERATING,512.6,489.5,520.35,1119.8,701.3,652.65
144,CASTROLIND,126.75,124.3,111.9,442.55,145.1,136.3
145,CCL,518.0,500.85,506.5,235.2,406.9,389.35
146,CEATLTD,1616.7,1541.95,1570.4,1281.95,1361.35,1259.1
147,CELEBRITY,21.1,22.25,20.75,11.4,10.55,10.1
148,CENTENKA,430.8,425.1,465.7,202.05,457.2,430.95
